Location: BBBPIPO Validation
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\072415-BBBPIPO-2.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUCH	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUCH	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUCH	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUCH	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Snag Abs BA: ABCO	Snag Abs BA: CADE	Snag Abs BA: PILA	Snag Abs BA: PIPO	Snag Abs BA: QUCH	Snag Abs BA: QUKE	Snag Abs BA: NR1	Snag Abs BA: NR2	Snag Abs BA: NR3	Snag BA Total:	Snag Rel BA: ABCO	Snag Rel BA: CADE	Snag Rel BA: PILA	Snag Rel BA: PIPO	Snag Rel BA: QUCH	Snag Rel BA: QUKE	Snag Rel BA: NR1	Snag Rel BA: NR2	Snag Rel BA: NR3	Snag Abs Den: ABCO	Snag Abs Den: CADE	Snag Abs Den: PILA	Snag Abs Den: PIPO	Snag Abs Den: QUCH	Snag Abs Den: QUKE	Snag Abs Den: NR1	Snag Abs Den: NR2	Snag Abs Den: NR3	Snag Den Total:	Snag Rel Den: ABCO	Snag Rel Den: CADE	Snag Rel Den: PILA	Snag Rel Den: PIPO	Snag Rel Den: QUCH	Snag Rel Den: QUKE	Snag Rel Den: NR1	Snag Rel Den: NR2	Snag Rel Den: NR3	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Den Total:
10	0	5.44444	16.2222	1.22222	3.33333	0.222222	28.8889	0	0	0	55.3333	1.46968	2.4545	1.06169	0.180407	0.00776933	0.22417	0	0	0	5.39822	0.272253	0.454687	0.196674	0.0334197	0.00143924	0.0415266	0	0	0	110.333	264.556	48.4444	23.4444	3.22222	109.444	0	0	0	559.444	0.197219	0.47289	0.0865938	0.0419067	0.00575968	0.195631	0	0	0	12.7256	38.153	4.88838	26.1208	0.164452	29.3498	0	0	0	111.402	0.114231	0.34248	0.0438805	0.234473	0.0014762	0.263458	0	0	0	50.5556	417.667	8.44444	23.3333	2.88889	275.444	0	0	0	778.333	0.0649536	0.536617	0.0108494	0.0299786	0.00371163	0.35389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111	6.11111	0.111111	0.888889	0.222222	3.22222	0	0	0	10.6667
11	0	5.44444	16.8889	1.22222	3.55556	0.333333	30.2222	0	0	0	57.6667	1.49201	2.32409	1.09699	0.176901	0.00785866	0.292021	0	0	0	5.38988	0.276818	0.431196	0.203528	0.032821	0.00145804	0.0541795	0	0	0	110.333	251	48.1111	23.8889	3	121.333	0	0	0	557.667	0.197848	0.45009	0.0862722	0.0428372	0.00537956	0.217573	0	0	0	12.8945	39.5153	4.8491	26.3095	0.170991	30.7991	0	0	0	114.538	0.112578	0.344996	0.042336	0.2297	0.00149287	0.268897	0	0	0	52.1111	429.889	8.22222	23.2222	3.11111	273.222	0	0	0	789.778	0.065982	0.544316	0.0104108	0.0294035	0.00393922	0.345948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333	5.22222	0.444444	0.444444	0	2.44444	0	0	0	8.88889
12	0	4.66667	17.3333	1.11111	4.33333	0.333333	29.5556	0	0	0	57.3333	1.51471	2.18302	1.10021	0.186422	0.00619922	0.379904	0	0	0	5.37047	0.282045	0.406487	0.204862	0.0347125	0.00115432	0.0707395	0	0	0	110.778	239.667	47	24.4444	2.44444	135.444	0	0	0	559.778	0.197896	0.428146	0.0839619	0.0436681	0.00436681	0.241961	0	0	0	13.0983	40.8946	4.91847	25.5888	0.179477	32.1676	0	0	0	116.847	0.112098	0.349983	0.0420931	0.218993	0.001536	0.275296	0	0	0	52.6667	440.889	8.33333	22.6667	3.66667	270.111	0	0	0	798.333	0.0659708	0.552262	0.0104384	0.0283925	0.0045929	0.338344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	6.66667	0.222222	0.666667	0	3.11111	0	0	0	11.3333
13	0	4.55556	19	0.555556	3.55556	0.222222	27.6667	0	0	0	55.5556	1.52822	2.04153	1.11779	0.180704	0.00600553	0.483191	0	0	0	5.35744	0.285252	0.381065	0.208642	0.0337295	0.00112097	0.0901906	0	0	0	110.222	228.111	46.2222	25.2222	2.33333	149.222	0	0	0	561.333	0.196358	0.406374	0.0823436	0.0449327	0.00415677	0.265835	0	0	0	13.3787	42.4682	4.96576	25.6347	0.186892	33.5456	0	0	0	120.18	0.111322	0.353372	0.0413194	0.213303	0.0015551	0.279128	0	0	0	54	453.444	8.22222	22.5556	3.88889	267.111	0	0	0	809.222	0.0667307	0.560346	0.0101606	0.0278731	0.00480571	0.330084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	5	0.333333	0.555556	0	3	0	0	0	9.55556
14	0	4.33333	20.8889	0.777778	1.88889	0.222222	27.1111	0	0	0	55.2222	1.56387	1.87185	1.15021	0.181541	0.00579902	0.598132	0	0	0	5.3714	0.291147	0.348485	0.214135	0.0337977	0.00107961	0.111355	0	0	0	110.333	216.889	45.4444	26.2222	2.22222	161.889	0	0	0	563	0.195974	0.385238	0.0807184	0.0465759	0.00394711	0.287547	0	0	0	13.7033	44.0134	5.00921	25.8366	0.192961	34.9787	0	0	0	123.734	0.110748	0.355709	0.0404836	0.208807	0.00155948	0.282693	0	0	0	55.2222	466.556	8.33333	22.6667	4	264.667	0	0	0	821.444	0.0672258	0.56797	0.0101447	0.0275937	0.00486947	0.322197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111	5	0.111111	0.222222	0.111111	2.44444	0	0	0	8
15	0	4.22222	21.2222	1.44444	2.44444	0.333333	27.4444	0	0	0	57.1111	1.58343	1.72203	1.17945	0.166609	0.00493389	0.732154	0	0	0	5.3886	0.293847	0.319568	0.218879	0.0309188	0.000915616	0.135871	0	0	0	110	208.111	44.3333	25.4444	1.88889	172.889	0	0	0	562.667	0.195498	0.369866	0.0787915	0.0452212	0.00335703	0.307267	0	0	0	13.9683	45.41	5.05761	25.5452	0.200649	36.316	0	0	0	126.498	0.110423	0.358979	0.0399818	0.201942	0.00158618	0.287088	0	0	0	56.4444	477.444	8.33333	22.8889	4.22222	261.333	0	0	0	830.667	0.0679508	0.574773	0.0100321	0.0275548	0.00508293	0.314607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	5.77778	0.222222	0.444444	0.111111	3.33333	0	0	0	10.5556
16	0	5.11111	20.2222	1.55556	3.33333	0.444444	26.5556	0	0	0	57.2222	1.65892	1.57531	1.21873	0.155798	0.00395055	0.881912	0	0	0	5.49462	0.301917	0.2867	0.221805	0.0283547	0.000718985	0.160505	0	0	0	111.333	201.444	43.8889	24.8889	1.55556	184.111	0	0	0	567.222	0.196278	0.355142	0.0773751	0.0438786	0.00274241	0.324584	0	0	0	14.2149	47.0597	5.0821	22.9612	0.20473	37.8197	0	0	0	127.342	0.111627	0.369553	0.039909	0.180311	0.00160772	0.296992	0	0	0	56.7778	487.667	8.33333	21.8889	4.44444	259.333	0	0	0	838.444	0.067718	0.581633	0.00993904	0.0261065	0.00530082	0.309303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444444	5.55556	0.222222	1.44444	0.111111	2.11111	0	0	0	9.88889
17	0	5.55556	19.2222	1.77778	2.88889	0.333333	27.3333	0	0	0	57.1111	1.66924	1.43736	1.219	0.159659	0.00392488	1.05323	0	0	0	5.54241	0.301175	0.259338	0.219941	0.0288068	0.000708153	0.190031	0	0	0	111	195.111	43.2222	25	1.44444	196.111	0	0	0	571.889	0.194094	0.34117	0.075578	0.0437148	0.00252574	0.342918	0	0	0	14.3494	48.8807	5.16902	22.7474	0.201638	39.3823	0	0	0	130.73	0.109763	0.373905	0.0395395	0.174002	0.0015424	0.301248	0	0	0	58.3333	497.889	8.55556	21	4.33333	257.222	0	0	0	847.333	0.0688434	0.587595	0.010097	0.0247836	0.00511408	0.303567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	4.77778	0.222222	1	0.222222	2.22222	0	0	0	9.11111
18	0	4.66667	20.8889	1.55556	3	0.111111	29.4444	0	0	0	59.6667	1.67531	1.25329	1.23647	0.160432	0.00121116	1.24255	0	0	0	5.56926	0.300814	0.225036	0.222016	0.0288067	0.000217473	0.223109	0	0	0	111.111	185.889	42.4444	25.1111	0.888889	206.333	0	0	0	571.778	0.194326	0.325107	0.0742324	0.0439176	0.00155461	0.360863	0	0	0	14.699	50.2836	5.27563	20.5774	0.20951	40.8845	0	0	0	131.93	0.111416	0.38114	0.0399882	0.155973	0.00158804	0.309896	0	0	0	60.4444	507.889	8.88889	20	4.88889	254.556	0	0	0	856.667	0.0705577	0.592866	0.0103761	0.0233463	0.00570687	0.297147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222	6.33333	0	1.22222	0.111111	2.66667	0	0	0	10.5556
19	0	4.88889	20.8889	1.22222	3.11111	0.111111	25.8889	0	0	0	56.1111	1.68543	1.07113	1.24307	0.15975	0.00146053	1.2214	0	0	0	5.38223	0.313147	0.199012	0.230957	0.0296811	0.000271361	0.226931	0	0	0	111	177.889	42.4444	25.1111	1	205.778	0	0	0	563.222	0.19708	0.315841	0.07536	0.0445847	0.0017755	0.365358	0	0	0	15.0657	52.0266	5.36157	20.4698	0.21267	42.7478	0	0	0	135.884	0.110872	0.382875	0.039457	0.150641	0.00156508	0.31459	0	0	0	62.3333	517.444	9.11111	19.6667	4.66667	266.111	0	0	0	879.333	0.070887	0.588451	0.0103614	0.0223654	0.00530705	0.302628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222	6.22222	0.222222	0.666667	0.222222	1.88889	0	0	0	9.44444
