Location: BBBPIPO Validation
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\072415-BBBPIPO-2.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUCH	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUCH	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUCH	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUCH	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Snag Abs BA: ABCO	Snag Abs BA: CADE	Snag Abs BA: PILA	Snag Abs BA: PIPO	Snag Abs BA: QUCH	Snag Abs BA: QUKE	Snag Abs BA: NR1	Snag Abs BA: NR2	Snag Abs BA: NR3	Snag BA Total:	Snag Rel BA: ABCO	Snag Rel BA: CADE	Snag Rel BA: PILA	Snag Rel BA: PIPO	Snag Rel BA: QUCH	Snag Rel BA: QUKE	Snag Rel BA: NR1	Snag Rel BA: NR2	Snag Rel BA: NR3	Snag Abs Den: ABCO	Snag Abs Den: CADE	Snag Abs Den: PILA	Snag Abs Den: PIPO	Snag Abs Den: QUCH	Snag Abs Den: QUKE	Snag Abs Den: NR1	Snag Abs Den: NR2	Snag Abs Den: NR3	Snag Den Total:	Snag Rel Den: ABCO	Snag Rel Den: CADE	Snag Rel Den: PILA	Snag Rel Den: PIPO	Snag Rel Den: QUCH	Snag Rel Den: QUKE	Snag Rel Den: NR1	Snag Rel Den: NR2	Snag Rel Den: NR3	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Den Total:
20	0	5.66667	20.5556	1.22222	3.66667	0.222222	24.3333	0	0	0	55.6667	1.69319	0.925016	1.27353	0.168246	0.00172818	1.21514	0	0	0	5.27686	0.320871	0.175297	0.241343	0.0318837	0.000327502	0.230278	0	0	0	110.222	173.778	41.8889	25	1	205.889	0	0	0	557.778	0.19761	0.311554	0.0750996	0.0448207	0.00179283	0.369124	0	0	0	15.3278	53.8982	5.45751	20.5289	0.214686	44.5434	0	0	0	139.97	0.109507	0.385068	0.0389904	0.146666	0.00153379	0.318234	0	0	0	63.7778	526.778	9.33333	19.4444	4.55556	275.444	0	0	0	899.333	0.0709167	0.585743	0.0103781	0.021621	0.00506548	0.306276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	3.88889	0.111111	0.333333	0.111111	3	0	0	0	8.11111
21	0	5.66667	22.4444	1.11111	4.44444	0.555556	28.7778	0	0	0	63	1.70659	0.840221	1.23068	0.160755	0.00202237	1.20183	0	0	0	5.1421	0.331886	0.1634	0.239335	0.0312624	0.000393296	0.233723	0	0	0	110.222	170.556	40.7778	25.1111	1	201.889	0	0	0	549.556	0.200566	0.310352	0.0742014	0.0456935	0.00181965	0.367368	0	0	0	15.612	55.5551	5.38536	18.4573	0.221513	46.499	0	0	0	141.73	0.110153	0.391978	0.0379972	0.130228	0.00156292	0.328081	0	0	0	65.1111	530.667	9.44444	19.4444	4.44444	286	0	0	0	915.111	0.071151	0.579893	0.0103205	0.0212482	0.00485673	0.31253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	5.55556	0.555556	0.555556	0.111111	2.11111	0	0	0	9.55556
22	0	5.66667	23.6667	1.44444	3.55556	0.555556	29.8889	0	0	0	64.7778	1.7285	0.806622	1.27344	0.165569	0.00235978	1.20943	0	0	0	5.18593	0.333307	0.155541	0.245557	0.0319265	0.000455035	0.233214	0	0	0	110.444	173	40.3333	26.5556	1.11111	201.667	0	0	0	553.111	0.199679	0.312776	0.0729209	0.0480113	0.00200884	0.364604	0	0	0	15.8816	57.047	5.43563	18.5279	0.22928	48.3437	0	0	0	145.465	0.109178	0.39217	0.0373672	0.12737	0.00157618	0.332338	0	0	0	66.3333	532.222	9.33333	19	4.44444	294.889	0	0	0	926.222	0.0716171	0.574616	0.0100768	0.0205134	0.00479846	0.318378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555556	5.33333	0.111111	0.666667	0	2.66667	0	0	0	9.33333
23	0	6.22222	22.8889	1.55556	3.33333	0.333333	29.3333	0	0	0	63.6667	1.72937	0.785691	1.29299	0.161285	0.00273512	1.18819	0	0	0	5.16026	0.335132	0.152258	0.250567	0.0312552	0.000530036	0.230258	0	0	0	110.111	176.556	39.7778	27.2222	1.22222	201.444	0	0	0	556.333	0.197923	0.317356	0.0714999	0.0489315	0.00219692	0.362093	0	0	0	16.1565	58.6164	5.41841	18.6305	0.237256	50.1611	0	0	0	149.22	0.108273	0.392818	0.0363115	0.124853	0.00158997	0.336155	0	0	0	67.7778	532.222	9.33333	19	4.44444	303.778	0	0	0	936.556	0.0723692	0.568276	0.00996559	0.0202871	0.00474552	0.324356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888889	6.22222	0.222222	0.444444	0	3.66667	0	0	0	11.4444
24	0	6.77778	18.7778	1.33333	3.66667	0	31.1111	0	0	0	61.6667	1.7654	0.827884	1.32651	0.172043	0.00207913	1.20738	0	0	0	5.3013	0.333013	0.156166	0.250224	0.0324529	0.000392193	0.227752	0	0	0	110.778	182.889	39.3333	27.6667	1.33333	203	0	0	0	565	0.196067	0.323697	0.0696165	0.0489676	0.00235988	0.359292	0	0	0	16.5251	59.6296	5.51811	18.3066	0.241249	52.0315	0	0	0	152.252	0.108538	0.39165	0.0362432	0.120239	0.00158454	0.341745	0	0	0	69	528.667	9.55556	18.2222	4.55556	311.222	0	0	0	941.222	0.0733089	0.561681	0.0101523	0.0193602	0.00484004	0.330658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333	6.44444	0	0.888889	0.111111	3.44444	0	0	0	11.2222
25	0	6.77778	21.6667	1.22222	3.11111	0.111111	31.2222	0	0	0	64.1111	1.73502	0.91072	1.31865	0.183247	0.00132255	1.2162	0	0	0	5.36516	0.323387	0.169747	0.24578	0.034155	0.000246508	0.226685	0	0	0	110.333	190.333	38.7778	28.4444	1.11111	205.111	0	0	0	574.111	0.192181	0.331527	0.067544	0.0495452	0.00193536	0.357267	0	0	0	16.9156	61.3786	5.55218	18.3684	0.25067	54.0071	0	0	0	156.473	0.108106	0.392264	0.0354834	0.117391	0.00160201	0.345154	0	0	0	71.3333	525.222	10	17.8889	4.77778	319.889	0	0	0	949.111	0.075158	0.553383	0.0105362	0.018848	0.00503395	0.337041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555556	4.77778	0.111111	0.444444	0	2.66667	0	0	0	8.55556
26	0	5.66667	24.4444	1.33333	2.55556	0.333333	33	0	0	0	67.3333	1.71317	1.01182	1.2795	0.191984	0.00158981	1.19659	0	0	0	5.39465	0.317569	0.187559	0.237179	0.0355878	0.000294701	0.22181	0	0	0	110.222	195.222	37.3333	29.2222	1.11111	206	0	0	0	579.111	0.19033	0.337107	0.0644666	0.0504605	0.00191865	0.355718	0	0	0	17.1918	62.8799	5.64287	18.5486	0.25712	56.1197	0	0	0	160.64	0.107021	0.391434	0.0351274	0.115467	0.0016006	0.349351	0	0	0	73	520.111	10.5556	17.6667	4.66667	330.111	0	0	0	956.111	0.076351	0.543986	0.0110401	0.0184776	0.00488088	0.345264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888889	5.55556	0.333333	0.222222	0.111111	2.66667	0	0	0	9.77778
27	0	5.77778	20.6667	1.88889	2.55556	0.666667	36.2222	0	0	0	67.7778	1.70685	1.13064	1.30016	0.198531	0.00188655	1.2022	0	0	0	5.54026	0.308081	0.204077	0.234675	0.0358343	0.000340516	0.216993	0	0	0	110.222	206	37	29.3333	1.11111	207.667	0	0	0	591.333	0.186396	0.348365	0.0625705	0.0496054	0.00187899	0.351184	0	0	0	17.5459	64.2337	5.69578	18.5053	0.255044	58.0129	0	0	0	164.249	0.106825	0.391076	0.0346778	0.112666	0.00155279	0.353202	0	0	0	74.5556	512.889	10.5556	17.2222	4.55556	338	0	0	0	957.778	0.0778422	0.535499	0.0110209	0.0179814	0.00475638	0.3529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555556	7.33333	0.333333	0.555556	0.111111	3.66667	0	0	0	12.5556
28	0	7.44444	19.5556	2.44444	2.22222	0.666667	36.7778	0	0	0	69.1111	1.70527	1.14249	1.32071	0.206882	0.00167666	1.18441	0	0	0	5.56144	0.306623	0.205431	0.237476	0.0371994	0.000301479	0.212968	0	0	0	109.667	208.889	36.8889	28.8889	1.11111	210.667	0	0	0	596.111	0.18397	0.350419	0.0618826	0.0484623	0.00186393	0.353402	0	0	0	17.9306	66.1567	5.72472	18.6166	0.26343	59.9486	0	0	0	168.641	0.106324	0.392294	0.0339462	0.110392	0.00156208	0.355481	0	0	0	76.5556	515.222	10.5556	16.8889	4.55556	346.444	0	0	0	970.222	0.0789052	0.531035	0.0108795	0.0174072	0.00469537	0.357077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444444	4	0.333333	0.444444	0.111111	4.44444	0	0	0	9.77778
29	0	8.66667	21.6667	1.88889	2.33333	0.444444	36	0	0	0	71	1.70012	1.17629	1.3523	0.211346	0.00201857	1.18574	0	0	0	5.62782	0.302093	0.209013	0.240289	0.0375537	0.000358677	0.210693	0	0	0	110	211.111	37	28.8889	1.33333	215.222	0	0	0	603.556	0.182253	0.349779	0.0613034	0.0478645	0.00220913	0.356591	0	0	0	18.3397	68.0228	5.8206	18.0193	0.272267	62.1343	0	0	0	172.609	0.10625	0.394086	0.0337214	0.104394	0.00157736	0.359971	0	0	0	78.4444	515.444	10.6667	16.8889	4.55556	354.667	0	0	0	980.667	0.0799909	0.525606	0.010877	0.0172218	0.00464537	0.361659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555556	4.88889	0	0.222222	0	3.66667	0	0	0	9.33333
30	0	8.44444	23.4444	1.44444	3.11111	0.222222	36.7778	0	0	0	73.4444	1.67414	1.20931	1.35922	0.229489	0.00241275	1.1855	0	0	0	5.66008	0.29578	0.213657	0.240142	0.0405452	0.000426275	0.20945	0	0	0	110.556	214.222	36.7778	29.3333	1.55556	218.889	0	0	0	611.333	0.180843	0.350418	0.0601599	0.0479826	0.00254453	0.358052	0	0	0	18.6504	69.7843	5.90955	17.8819	0.281319	64.593	0	0	0	177.101	0.10531	0.394038	0.0333683	0.100971	0.00158847	0.364725	0	0	0	80.8889	515.222	10.7778	16.4444	4.55556	364	0	0	0	991.889	0.0815504	0.519435	0.0108659	0.0165789	0.00459281	0.366977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333	5.55556	0.222222	0.444444	0	2.88889	0	0	0	9.44444
31	0	7.55556	22.6667	1.55556	2.88889	0.333333	37.2222	0	0	0	72.2222	1.64849	1.23592	1.36193	0.252509	0.00229562	1.20476	0	0	0	5.70591	0.28891	0.216604	0.238688	0.044254	0.000402324	0.211142	0	0	0	111.444	217.222	36.2222	30.6667	1.55556	223.111	0	0	0	620.222	0.179685	0.350233	0.058402	0.0494446	0.00250806	0.359728	0	0	0	19.0453	71.7016	5.99258	17.6528	0.286413	67.0413	0	0	0	181.72	0.104806	0.394572	0.032977	0.0971428	0.00157612	0.368926	0	0	0	82.7778	516.111	11	15.7778	4.55556	371.889	0	0	0	1002.11	0.0826034	0.515024	0.0109768	0.0157445	0.00454596	0.371105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555556	4.66667	0.111111	0.666667	0.111111	3.11111	0	0	0	9.22222
32	0	8.77778	24.2222	2	2.44444	0.888889	39.6667	0	0	0	78	1.60084	1.238	1.31724	0.267702	0.0027087	1.21671	0	0	0	5.64321	0.283675	0.219379	0.233421	0.0474379	0.000479992	0.215607	0	0	0	110.889	220.222	35.1111	31.1111	1.55556	228	0	0	0	626.889	0.176888	0.351294	0.0560085	0.0496278	0.00248139	0.363701	0	0	0	19.4266	73.2476	6.13766	17.713	0.295748	69.3959	0	0	0	186.217	0.104323	0.393346	0.0329598	0.0951205	0.00158819	0.372662	0	0	0	85.2222	516.444	11.6667	15.1111	4.55556	379.778	0	0	0	1012.78	0.084147	0.509929	0.0115195	0.0149205	0.00449808	0.374986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888889	6.88889	0.222222	0.666667	0	3.77778	0	0	0	12.4444
33	0	9	24.3333	1.22222	2.66667	1.11111	39.6667	0	0	0	78	1.5866	1.26462	1.2813	0.279646	0.00262695	1.23994	0	0	0	5.65474	0.280579	0.22364	0.226588	0.0494534	0.000464556	0.219275	0	0	0	111.556	222.889	34.5556	31.2222	1.55556	233.333	0	0	0	635.111	0.175647	0.350945	0.0544087	0.0491603	0.00244927	0.36739	0	0	0	19.8662	74.6544	6.26059	17.7925	0.305851	71.595	0	0	0	190.475	0.104299	0.391939	0.0328684	0.0934112	0.00160573	0.375877	0	0	0	87.5556	514.889	12.3333	15	4.66667	386.556	0	0	0	1021	0.0857547	0.504299	0.0120797	0.0146915	0.00457068	0.378605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333	7.77778	0.222222	0.222222	0	4.55556	0	0	0	13.1111
34	0	7.66667	20.6667	1.66667	2.66667	1.22222	40.2222	0	0	0	74.1111	1.56544	1.29395	1.21879	0.291127	0.00255599	1.27738	0	0	0	5.64924	0.277106	0.229048	0.215745	0.0515338	0.000452448	0.226115	0	0	0	113	228.444	33.5556	31.1111	1.66667	241.444	0	0	0	649.222	0.174054	0.351874	0.0516858	0.0479206	0.00256717	0.371898	0	0	0	20.1507	76.2843	6.39879	17.3471	0.31347	73.9425	0	0	0	194.437	0.103636	0.392334	0.0329093	0.0892173	0.00161219	0.38029	0	0	0	89.4444	514.889	12.8889	14.1111	4.66667	393	0	0	0	1029	0.0869237	0.500378	0.0125256	0.0137134	0.00453515	0.381924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888889	6.11111	0.222222	0.888889	0.111111	4.22222	0	0	0	12.4444
35	0	8.22222	21.6667	2.22222	1.44444	1	43.2222	0	0	0	77.7778	1.54271	1.28396	1.22569	0.303624	0.00254061	1.29114	0	0	0	5.64966	0.273063	0.227263	0.216949	0.053742	0.000449692	0.228534	0	0	0	113.667	228.111	32.8889	31.5556	2.11111	244.889	0	0	0	653.222	0.174009	0.349209	0.0503487	0.0483075	0.00323184	0.374894	0	0	0	20.4825	78.0714	6.39328	17.0442	0.31925	76.6308	0	0	0	198.941	0.102957	0.392434	0.0321365	0.0856743	0.00160475	0.385193	0	0	0	91.5556	516.556	12.5556	13.5556	4.66667	401.444	0	0	0	1040.33	0.088006	0.496529	0.0120688	0.01303	0.00448574	0.385881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444444	6.22222	0.555556	0.666667	0.111111	3.88889	0	0	0	11.8889
36	0	9.55556	23.1111	1.66667	1.55556	0.777778	43.8889	0	0	0	80.5556	1.48123	1.32131	1.20522	0.308396	0.00289686	1.31353	0	0	0	5.63259	0.262975	0.234583	0.213973	0.0547521	0.000514304	0.233203	0	0	0	113.111	229.889	33.1111	31	2.33333	251.667	0	0	0	661.111	0.171092	0.347731	0.050084	0.0468908	0.00352941	0.380672	0	0	0	20.9584	79.9346	6.52771	17.1799	0.329293	79.0368	0	0	0	203.967	0.102754	0.3919	0.0320038	0.0842291	0.00161444	0.387498	0	0	0	94.2222	517.111	13.1111	13.5556	4.66667	408.444	0	0	0	1051.11	0.0896406	0.491966	0.0124736	0.0128964	0.00443975	0.388584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777778	5	0.111111	0.222222	0	5.44444	0	0	0	11.5556
37	0	9.55556	23.2222	2.55556	2.77778	0.555556	42.6667	0	0	0	81.3333	1.43506	1.35286	1.13823	0.335036	0.00349874	1.3838	0	0	0	5.64848	0.254061	0.239509	0.201511	0.0593143	0.000619412	0.244985	0	0	0	113.444	232.667	32	31.1111	2.66667	261	0	0	0	672.889	0.168593	0.345773	0.0475561	0.0462351	0.00396301	0.38788	0	0	0	21.3949	81.8989	6.67067	12.8321	0.339556	81.5325	0	0	0	204.669	0.104534	0.400154	0.0325925	0.0626972	0.00165905	0.398363	0	0	0	96.6667	518	13.7778	12.6667	4.66667	413.667	0	0	0	1059.44	0.0912428	0.488936	0.0130047	0.011956	0.00440482	0.390456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777778	5.33333	0.333333	0.888889	0	4.55556	0	0	0	11.8889
38	0	10	23.3333	2.66667	2.66667	0.333333	41.5556	0	0	0	80.5556	1.4033	1.39301	1.14842	0.348779	0.00358419	1.43827	0	0	0	5.73538	0.244675	0.242881	0.200235	0.0608119	0.000624927	0.250772	0	0	0	115	236.222	32.2222	30.7778	2.77778	269	0	0	0	686	0.167638	0.344347	0.0469712	0.0448656	0.00404924	0.392128	0	0	0	21.9491	83.4138	6.74455	12.4767	0.335131	84.3379	0	0	0	209.257	0.10489	0.398619	0.0322309	0.0596236	0.00160153	0.403035	0	0	0	99.1111	518.333	13.8889	12.3333	4.55556	421.556	0	0	0	1069.78	0.0926464	0.484524	0.012983	0.0115289	0.00425841	0.394059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222	5.88889	0.222222	0.333333	0.222222	3.55556	0	0	0	10.4444
39	0	9	21.4444	2.22222	2	0.777778	39.4444	0	0	0	74.8889	1.33499	1.39913	1.10874	0.344999	0.00372211	1.45611	0	0	0	5.6477	0.236378	0.247735	0.196317	0.0610867	0.000659049	0.257824	0	0	0	115.222	237	32.4444	30.6667	2.77778	272.556	0	0	0	690.667	0.166828	0.343147	0.0469755	0.0444015	0.00402188	0.394627	0	0	0	22.3833	85.1621	6.915	12.5104	0.333822	86.9639	0	0	0	214.269	0.104464	0.397455	0.0322726	0.0583866	0.00155796	0.405864	0	0	0	102.111	520.444	14.5556	12.2222	4.44444	430.778	0	0	0	1084.56	0.0941502	0.479869	0.0134208	0.0112693	0.00409794	0.397193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555556	5.33333	0	0.555556	0.222222	4.22222	0	0	0	10.8889
40	0	7.55556	18.5556	2.33333	1.66667	0.666667	41.2222	0	0	0	72	1.22726	1.41502	1.04104	0.350528	0.00262262	1.5052	0	0	0	5.54167	0.221461	0.255342	0.187856	0.0632531	0.000473255	0.271615	0	0	0	115.333	238.667	31.7778	30.2222	2.44444	278.333	0	0	0	696.778	0.165524	0.342529	0.0456068	0.0433743	0.00350821	0.399458	0	0	0	22.8241	87.1213	7.04639	12.5618	0.325472	89.6964	0	0	0	219.575	0.103946	0.396772	0.032091	0.0572097	0.00148228	0.408499	0	0	0	105.444	522.556	15.3333	12.2222	4.55556	439.333	0	0	0	1099.44	0.095907	0.475291	0.0139464	0.0111167	0.00414351	0.399596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5.22222	0.333333	0.333333	0.222222	3.88889	0	0	0	11
41	0	10.4444	19.4444	2.66667	1.77778	0.555556	47.8889	0	0	0	82.7778	1.20572	1.42485	0.995735	0.33837	0.00305888	1.54973	0	0	0	5.51747	0.218528	0.258244	0.18047	0.0613271	0.000554399	0.280878	0	0	0	115.667	238.667	31.2222	28.6667	2.44444	281.556	0	0	0	698.222	0.165659	0.341821	0.0447167	0.0410567	0.00350095	0.403246	0	0	0	23.3296	89.0307	7.1133	12.6048	0.335327	92.4481	0	0	0	224.862	0.103751	0.395935	0.0316341	0.056056	0.00149126	0.411133	0	0	0	107.222	526.111	15.7778	12.5556	4.55556	447.778	0	0	0	1114	0.0962498	0.472272	0.0141632	0.0112707	0.00408937	0.401955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777778	4.55556	0.333333	0.333333	0	4.77778	0	0	0	10.7778
42	0	11.1111	22.2222	3	1.66667	0.111111	51.3333	0	0	0	89.4444	1.18131	1.42323	0.945843	0.326439	0.00362482	1.58245	0	0	0	5.46289	0.216242	0.260526	0.173139	0.0597557	0.000663535	0.289673	0	0	0	116.333	237	30.5556	27.6667	2.77778	286.778	0	0	0	701.111	0.165927	0.338035	0.0435816	0.0394612	0.00396196	0.409033	0	0	0	23.634	91.1308	7.28886	12.6111	0.345396	95.1729	0	0	0	230.183	0.102675	0.395906	0.0316655	0.0547871	0.00150053	0.413466	0	0	0	108.222	529.556	16.4444	13.1111	4.55556	456.889	0	0	0	1128.78	0.0958756	0.469141	0.0145684	0.0116153	0.00403583	0.404764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44444	5.11111	0.111111	0.222222	0	4.88889	0	0	0	11.7778
43	0	9	22.8889	3.11111	1.77778	0.222222	50.7778	0	0	0	87.7778	1.15822	1.44855	0.928199	0.306525	0.00432539	1.62187	0	0	0	5.46769	0.21183	0.264929	0.169761	0.0560612	0.000791082	0.296628	0	0	0	119.444	237.889	30.6667	26.3333	2.77778	295.778	0	0	0	712.889	0.16755	0.333697	0.0430175	0.0369389	0.00389651	0.4149	0	0	0	23.9806	93.0396	7.37754	12.7121	0.355681	98.2578	0	0	0	235.723	0.101732	0.394698	0.0312975	0.0539281	0.00150889	0.416835	0	0	0	109.778	531.667	16.4444	13.3333	4.55556	467.444	0	0	0	1143.22	0.0960249	0.46506	0.0143843	0.0116629	0.00398484	0.408883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888889	5	0.333333	0.444444	0	3.77778	0	0	0	10.4444
44	0	10.1111	23.4444	3.44444	1.77778	0.444444	51	0	0	0	90.2222	1.16848	1.46739	0.88918	0.308474	0.00509967	1.65036	0	0	0	5.48898	0.212877	0.267334	0.161994	0.0561988	0.000929073	0.300667	0	0	0	121.222	239.556	30.6667	25.8889	2.77778	302.778	0	0	0	722.889	0.167691	0.331386	0.0424224	0.0358131	0.00384261	0.418844	0	0	0	24.4201	94.8197	7.36558	12.6123	0.359794	101.1	0	0	0	240.677	0.101464	0.393971	0.0306036	0.0524034	0.00149493	0.420063	0	0	0	110.333	532.778	16.6667	13.3333	4.44444	476.667	0	0	0	1154.22	0.0955911	0.46159	0.0144397	0.0115518	0.0038506	0.412977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6.66667	0.444444	0.444444	0.111111	5.77778	0	0	0	14.4444
