"","species","bootedmean","bootsd"
"1","ABXX",0.18160307673944,0.158243001095613
"2","CAXX",0.184050147820515,0.169035581073909
"3","PIXX",0.25416978935459,0.208140246140507
"4","QUXX",0.136020500965246,0.117334521381759
"5","ABCO",0.266264035142762,0.188595185424723
"6","ABMA",0.156157682418638,0.138122415817646
"7","CADE",0.184050147820515,0.169035581073909
"8","PICO",0.179077485380117,0.171973269766198
"9","PIJE",0.184524106541558,0.142107427442369
"10","PILA",0.316134094842711,0.226427550533467
"11","PIMO",0.267494677639524,0.213358452774515
"12","PIPO",0.308949579831933,0.259123256082974
"13","QUCH",0.0336538461538462,0.146831544102535
"14","QUKE",0.146702238858609,0.108442726051
