X	Y	Species	Type	Diam	Height
90.845	49.937	CADE	Adult	4.739	0
216.099	198.296	CADE	Adult	3.53	0
132.721	171.346	CADE	Adult	12.94	0
48.494	232.692	CADE	Adult	22.328	0
23.449	299.997	CADE	Adult	0.538	0
292.671	38.668	CADE	Adult	0.613	0
67.061	279.756	CADE	Adult	60.387	0
25.457	109.052	CADE	Adult	22.201	0
266.019	93.657	CADE	Adult	41.266	0
159.71	277.807	CADE	Adult	8.991	0
168.328	109.754	CADE	Adult	1.342	0
89.175	221.157	CADE	Adult	39.126	0
19.174	121.386	CADE	Adult	3.558	0
143.861	287.022	CADE	Adult	22.246	0
24.966	249.341	CADE	Adult	3.577	0
165.336	200.006	CADE	Adult	5.487	0
215.952	174.169	CADE	Adult	27.527	0
60.613	232.408	CADE	Adult	12.098	0
227.414	230.153	CADE	Adult	0.433	0
3.718	72.112	CADE	Adult	52.607	0
138.937	265.175	CADE	Adult	19.945	0
11.539	26.65	CADE	Adult	15.296	0
57.07	59.807	CADE	Adult	14.447	0
105.788	244.575	CADE	Adult	6.851	0
197.119	240.913	CADE	Adult	37.214	0
221.71	58.074	CADE	Adult	0.802	0
256.839	199.015	CADE	Adult	1.621	0
11.383	277.306	CADE	Adult	12.007	0
122.596	282.059	CADE	Adult	0.202	0
239.494	297.896	CADE	Adult	1.342	0
15.281	2.985	CADE	Adult	0.622	0
169.996	233.743	CADE	Adult	75.903	0
70.196	25.847	CADE	Adult	22.595	0
228.578	117.842	CADE	Adult	1.987	0
100.565	242.656	CADE	Adult	7.33	0
34.646	59.142	CADE	Adult	14.581	0
212.767	88.512	CADE	Adult	59.651	0
279.424	245.269	CADE	Adult	0.597	0
18.217	10.518	CADE	Adult	8.966	0
33.753	14.348	CADE	Adult	10.706	0
74.348	189.97	CADE	Adult	15.348	0
228.338	90.767	CADE	Adult	8.413	0
292.305	129.565	CADE	Adult	8.329	0
137.914	279.38	CADE	Adult	0.553	0
63.601	147.956	CADE	Adult	9.103	0
62.551	127.005	CADE	Adult	30.337	0
123.161	112.656	CADE	Adult	11.051	0
139.572	188.379	CADE	Adult	15.796	0
53.5	144.118	CADE	Adult	8.986	0
223.329	258.253	CADE	Adult	26.141	0
281.3	274.094	CADE	Adult	32.514	0
141.971	19.912	CADE	Adult	0.238	0
8.089	296.578	CADE	Adult	6.359	0
270.037	125.283	CADE	Adult	1.141	0
37.098	39.556	CADE	Adult	11.007	0
263.444	225.388	CADE	Adult	9.796	0
59.417	155.367	CADE	Adult	5.699	0
250.318	261.354	CADE	Adult	35.505	0
20.748	246.495	CADE	Adult	64.631	0
32.665	236.659	CADE	Adult	22.394	0
258.064	159.887	CADE	Adult	19.095	0
46.217	259.615	CADE	Adult	0.549	0
148.192	280.773	CADE	Adult	10.052	0
243.748	11.086	CADE	Adult	16.094	0
107.55	102.756	CADE	Adult	13.358	0
184.198	124.321	CADE	Adult	11.569	0
204.415	261.619	CADE	Adult	58.109	0
34.626	258.963	CADE	Adult	34.848	0
186.223	78.773	CADE	Adult	47.595	0
232.104	104.585	CADE	Adult	28.244	0
61.042	224.752	CADE	Adult	20.811	0
160.268	133.97	CADE	Adult	21.918	0
224.775	282.985	CADE	Adult	13.32	0
145.394	78.646	CADE	Adult	3.761	0
225.227	278.79	CADE	Adult	15.517	0
115.361	183.07	CADE	Adult	0.441	0
23.604	152.363	CADE	Adult	7.683	0
66.624	85.95	CADE	Adult	14.621	0
197.872	197.941	CADE	Adult	0.688	0
279.437	68.923	CADE	Adult	28.571	0
176.036	77.878	CADE	Adult	23.708	0
106.222	129.999	CADE	Adult	67.071	0
147.234	113.149	CADE	Adult	0.551	0
35.108	84.693	CADE	Adult	13.142	0
122.263	104.319	CADE	Adult	24.743	0
15.604	178.624	CADE	Adult	27.867	0
255.702	170.859	CADE	Adult	77.722	0
267.864	210.119	CADE	Adult	35.415	0
241.884	281.649	CADE	Adult	19.438	0
207.877	41.991	CADE	Adult	22.286	0
257.31	289.498	CADE	Adult	34.42	0
282.073	209.569	CADE	Adult	22.93	0
231.679	3.239	CADE	Adult	22.134	0
52.613	121.606	CADE	Adult	0.751	0
274.059	165.461	CADE	Adult	17.19	0
158.885	276.011	CADE	Adult	34.478	0
132.392	76.945	CADE	Adult	4.619	0
3.163	162.315	CADE	Adult	14.017	0
49.907	222.073	CADE	Adult	19.379	0
262.882	295.724	CADE	Adult	14.252	0
46.4	253.645	CADE	Adult	12.173	0
186.475	265.805	CADE	Adult	68.454	0
82.066	231.868	CADE	Adult	0.543	0
56.927	134.103	CADE	Adult	27.971	0
68.973	150.298	CADE	Adult	18.689	0
235.074	112.592	CADE	Adult	15.64	0
178.127	111.719	CADE	Adult	17.263	0
176.531	35.08	CADE	Adult	19.095	0
167.954	108.246	CADE	Adult	4.939	0
150.895	167.017	CADE	Adult	1.304	0
169.867	244.995	CADE	Adult	11.193	0
248.438	216.27	CADE	Adult	0.441	0
114.791	32.036	CADE	Adult	1.168	0
82.701	21.354	CADE	Adult	1.813	0
211.544	253.643	CADE	Adult	4.911	0
258.101	77.847	CADE	Adult	5.155	0
203.505	126.026	CADE	Adult	18.606	0
282.616	218.993	CADE	Adult	1.26	0
254.481	243.446	CADE	Adult	24.844	0
35.811	154.597	CADE	Adult	6.052	0
160.753	238.284	CADE	Adult	50.921	0
115.958	108.79	CADE	Adult	11.428	0
268.489	116.334	CADE	Adult	5.176	0
187.51	271.922	CADE	Adult	44.584	0
145.829	198.804	CADE	Adult	5.258	0
207.318	156.941	CADE	Adult	12.263	0
52.318	294.828	CADE	Adult	4.124	0
22.078	267.361	CADE	Adult	26.039	0
157.237	244.78	CADE	Adult	1.735	0
290.297	4.084	CADE	Adult	19.795	0
249.094	257.668	CADE	Adult	8.558	0
270.655	108.783	CADE	Adult	16.561	0
196.059	206.361	CADE	Adult	12.243	0
278.648	103.537	CADE	Adult	18.063	0
122.342	2.111	CADE	Adult	17.966	0
100.56	6.477	CADE	Adult	14.451	0
241.892	198.334	CADE	Adult	5.738	0
255.665	162.928	CADE	Adult	1.963	0
46.436	76.851	CADE	Adult	5.293	0
232.554	132.408	CADE	Adult	0.817	0
146.098	218.07	CADE	Adult	13.622	0
81.868	90.768	CADE	Adult	20.254	0
80.81	294.184	CADE	Adult	7.07	0
212.474	93.861	CADE	Adult	14.274	0
34.725	287.497	CADE	Adult	10.632	0
230.574	260.297	CADE	Adult	18.787	0
214.403	268.374	CADE	Adult	43.018	0
292.795	293.03	CADE	Adult	65.129	0
3.554	286.7	CADE	Adult	3.395	0
282.69	210.295	CADE	Adult	38.764	0
164.593	140.141	CADE	Adult	9.871	0
288.296	157.17	CADE	Adult	12.784	0
101.382	270.218	CADE	Adult	37.667	0
234.686	230.939	CADE	Adult	8.382	0
74.912	52.794	CADE	Adult	18.962	0
204.498	230.414	CADE	Adult	0.418	0
130.49	35.15	CADE	Adult	18.201	0
56.253	290.678	CADE	Adult	11.344	0
259.673	89.682	CADE	Adult	11.46	0
33.958	215.769	CADE	Adult	3.473	0
139.981	89.473	CADE	Adult	4.972	0
132.996	113.419	CADE	Adult	32.18	0
181.541	243.482	CADE	Adult	0.171	0
238.418	290.059	CADE	Adult	0.524	0
67.421	125.988	CADE	Adult	7.723	0
167	136.794	CADE	Adult	10.738	0
84.174	48.322	CADE	Adult	10.238	0
263.225	298.405	CADE	Adult	9.905	0
185.506	25.611	CADE	Adult	17.874	0
212.469	99.931	CADE	Adult	0.413	0
275.303	164.749	CADE	Adult	20.303	0
65.033	47.099	CADE	Adult	18.223	0
144.53	223.706	CADE	Adult	0.223	0
101.447	171.47	CADE	Adult	8.867	0
45.761	21.779	CADE	Adult	31.976	0
235.747	0.943	CADE	Adult	10.575	0
285.269	179.714	CADE	Adult	53.468	0
30.322	15.062	CADE	Adult	9.774	0
63.441	21.821	CADE	Adult	9.425	0
50.477	30.771	CADE	Adult	0.601	0
64.699	261.59	CADE	Adult	33.68	0
241.523	115.487	CADE	Adult	34.439	0
280.201	42.472	CADE	Adult	0.405	0
93.232	7.074	CADE	Adult	7.988	0
108.845	231.252	CADE	Adult	9.423	0
133.805	18.077	CADE	Adult	16.186	0
228.459	60.797	CADE	Adult	12.64	0
82.138	78.434	CADE	Adult	0.586	0
164.317	30.534	CADE	Adult	18.802	0
130.977	183.393	CADE	Adult	7.521	0
5.425	99.945	CADE	Adult	14.348	0
120.566	299.055	CADE	Adult	33.015	0
206.195	147.036	CADE	Adult	18.312	0
227.537	176.914	CADE	Adult	0.364	0
174.95	129.532	CADE	Adult	47.171	0
242.843	70.129	CADE	Adult	0.865	0
233.267	297.838	CADE	Adult	0.267	0
131.799	288.777	CADE	Adult	4.792	0
