,plot,measyear,species,treeAbsDens,treeAbsBasalArea,totalTrees,totalBasalArea,treeRelDens,treeRelBasalArea,seedAbsDens,totalSeeds,seedRelDens
60,POFLABMA,2009,ABMA,610,107.9304031,642,110.6341764,0.950155763,0.975561139,1,1,1
61,POFLABMA,2009,PICO,32,2.703773272,642,110.6341764,0.049844237,0.024438861,NA,NA,NA
62,POFLABMA,2011,ABMA,NA,NA,NA,NA,NA,NA,1,1,1
63,POFLABMA,2012,ABMA,NA,NA,NA,NA,NA,NA,2,2,1
64,POFLABMA,2014,ABMA,642,109.6955095,672,112.3229773,0.955357143,0.976607923,1,1,1
65,POFLABMA,2014,PICO,30,2.627467735,672,112.3229773,0.044642857,0.023392077,NA,NA,NA
66,SFTRABMA,1992,ABMA,1623,100.5079451,1630,100.6436143,0.995705521,0.998651984,21,21,1
67,SFTRABMA,1992,PIMO,7,0.135669211,1630,100.6436143,0.004294479,0.001348016,NA,NA,NA
68,SFTRABMA,1997,ABMA,1554,104.0460566,1561,104.1952732,0.995515695,0.998567914,4,4,1
69,SFTRABMA,1997,PIMO,7,0.149216575,1561,104.1952732,0.004484305,0.001432086,NA,NA,NA
70,SFTRABMA,1999,ABMA,NA,NA,NA,NA,NA,NA,1,1,1
71,SFTRABMA,2000,ABMA,NA,NA,NA,NA,NA,NA,1,1,1
72,SFTRABMA,2002,ABMA,1477,106.7590529,1484,106.9206308,0.995283019,0.998488804,2,2,1
73,SFTRABMA,2002,PIMO,7,0.161577986,1484,106.9206308,0.004716981,0.001511196,NA,NA,NA
74,SFTRABMA,2004,ABMA,NA,NA,NA,NA,NA,NA,1,1,1
75,SFTRABMA,2007,ABMA,1348,109.5121569,1355,109.6811177,0.994833948,0.998459527,10,10,1
76,SFTRABMA,2007,PIMO,7,0.168960746,1355,109.6811177,0.005166052,0.001540473,NA,NA,NA
77,SFTRABMA,2012,ABMA,1228,111.2301741,1233,111.4049405,0.99594485,0.998431251,3,3,1
78,SFTRABMA,2012,PIMO,5,0.174766423,1233,111.4049405,0.00405515,0.001568749,NA,NA,NA
79,SFTRABMA,2013,ABMA,NA,NA,NA,NA,NA,NA,4,4,1
80,FRPIJE,1983,ABCO,13,2.053798223,177,19.36085692,0.073446328,0.106079924,6,116,0.051724138
81,FRPIJE,1983,CADE,3,0.001053221,177,19.36085692,0.016949153,5.44E-05,3,116,0.025862069
82,FRPIJE,1983,PIJE,140,15.83738287,177,19.36085692,0.790960452,0.818010429,22,116,0.189655172
83,FRPIJE,1983,PILA,4,1.270279256,177,19.36085692,0.02259887,0.065610694,NA,NA,NA
84,FRPIJE,1983,PIMO,1,0.011689894,177,19.36085692,0.005649718,0.00060379,NA,NA,NA
85,FRPIJE,1983,QUKE,16,0.186653452,177,19.36085692,0.09039548,0.009640764,85,116,0.732758621
86,FRPIJE,1988,ABCO,16,2.453112077,174,18.90326795,0.091954023,0.129771851,3,108,0.027777778
87,FRPIJE,1988,CADE,3,0.003677243,174,18.90326795,0.017241379,0.000194529,3,108,0.027777778
88,FRPIJE,1988,PIJE,131,14.92477556,174,18.90326795,0.752873563,0.789534148,20,108,0.185185185
89,FRPIJE,1988,PILA,4,1.307463234,174,18.90326795,0.022988506,0.06916599,NA,NA,NA
90,FRPIJE,1988,PIMO,1,0.01368481,174,18.90326795,0.005747126,0.000723939,NA,NA,NA
91,FRPIJE,1988,QUKE,19,0.200555032,174,18.90326795,0.109195402,0.010609543,82,108,0.759259259
92,FRPIJE,1994,ABCO,17,2.764403796,210,16.68101321,0.080952381,0.165721576,2,54,0.037037037
93,FRPIJE,1994,CADE,5,0.017887485,210,16.68101321,0.023809524,0.001072326,1,54,0.018518519
94,FRPIJE,1994,PIJE,124,13.46417268,210,16.68101321,0.59047619,0.807155567,11,54,0.203703704
95,FRPIJE,1994,PILA,3,0.179119109,210,16.68101321,0.014285714,0.010737903,NA,NA,NA
96,FRPIJE,1994,PIMO,1,0.017907905,210,16.68101321,0.004761905,0.00107355,NA,NA,NA
97,FRPIJE,1994,QUKE,60,0.237522239,210,16.68101321,0.285714286,0.014239077,40,54,0.740740741
98,FRPIJE,1999,ABCO,17,2.916809881,236,16.82056701,0.072033898,0.173407346,NA,NA,NA
99,FRPIJE,1999,CADE,5,0.042952741,236,16.82056701,0.021186441,0.002553585,NA,NA,NA
100,FRPIJE,1999,PIJE,114,13.35851674,236,16.82056701,0.483050847,0.794177553,NA,NA,NA
101,FRPIJE,1999,PILA,2,0.219019786,236,16.82056701,0.008474576,0.013020951,NA,NA,NA
102,FRPIJE,1999,PIMO,1,0.020867293,236,16.82056701,0.004237288,0.001240582,NA,NA,NA
103,FRPIJE,1999,QUKE,97,0.262400569,236,16.82056701,0.411016949,0.015599984,1,1,1
104,FRPIJE,2000,QUKE,NA,NA,NA,NA,NA,NA,3,3,1
105,FRPIJE,2001,PIJE,NA,NA,NA,NA,NA,NA,1,2,0.5
106,FRPIJE,2001,QUKE,NA,NA,NA,NA,NA,NA,1,2,0.5
107,FRPIJE,2004,ABCO,18,3.169380383,229,16.43801202,0.07860262,0.19280801,NA,NA,NA
108,FRPIJE,2004,CADE,10,0.085254385,229,16.43801202,0.043668122,0.005186417,NA,NA,NA
109,FRPIJE,2004,PIJE,104,12.63317314,229,16.43801202,0.454148472,0.768534122,NA,NA,NA
110,FRPIJE,2004,PILA,2,0.253735251,229,16.43801202,0.008733624,0.015435884,NA,NA,NA
111,FRPIJE,2004,QUKE,95,0.296468865,229,16.43801202,0.414847162,0.018035567,2,2,1
112,FRPIJE,2009,ABCO,16,3.181020797,238,15.58313087,0.067226891,0.204132329,NA,NA,NA
113,FRPIJE,2009,CADE,12,0.148603178,238,15.58313087,0.050420168,0.009536157,NA,NA,NA
114,FRPIJE,2009,PIJE,101,11.72548106,238,15.58313087,0.424369748,0.752447063,NA,NA,NA
115,FRPIJE,2009,PILA,2,0.194133601,238,15.58313087,0.008403361,0.012457933,NA,NA,NA
116,FRPIJE,2009,QUKE,107,0.33389224,238,15.58313087,0.449579832,0.021426518,5,5,1
117,FRPIJE,2014,ABCO,11,2.799051717,246,15.74732105,0.044715447,0.177747803,1,5,0.2
118,FRPIJE,2014,CADE,15,0.216574835,246,15.74732105,0.06097561,0.013753122,NA,NA,NA
119,FRPIJE,2014,PIJE,97,12.12494237,246,15.74732105,0.394308943,0.769968576,1,5,0.2
120,FRPIJE,2014,PILA,2,0.219090472,246,15.74732105,0.008130081,0.013912873,NA,NA,NA
121,FRPIJE,2014,QUKE,121,0.387661659,246,15.74732105,0.491869919,0.024617626,3,5,0.6
122,EMSALIX,1983,PICO,8,0.083339579,33,2.508678341,0.242424242,0.033220512,3,12,0.25
123,EMSALIX,1983,PIMO,25,2.425338762,33,2.508678341,0.757575758,0.966779488,9,12,0.75
124,EMSALIX,1988,PICO,8,0.105682639,33,2.593716741,0.242424242,0.040745636,3,12,0.25
125,EMSALIX,1988,PIMO,25,2.488034102,33,2.593716741,0.757575758,0.959254364,9,12,0.75
126,EMSALIX,1993,PICO,9,0.14010515,37,2.845614156,0.243243243,0.04923547,2,8,0.25
127,EMSALIX,1993,PIMO,28,2.705509006,37,2.845614156,0.756756757,0.95076453,6,8,0.75
128,EMSALIX,1998,PICO,8,0.052771811,34,1.572958279,0.235294118,0.033549403,NA,NA,NA
129,EMSALIX,1998,PIMO,26,1.520186468,34,1.572958279,0.764705882,0.966450597,2,2,1
130,EMSALIX,2003,PICO,9,0.068354933,35,2.729264215,0.257142857,0.025045187,NA,NA,NA
131,EMSALIX,2003,PIMO,26,2.660909282,35,2.729264215,0.742857143,0.974954813,NA,NA,NA
132,EMSALIX,2008,PICO,8,0.087257155,32,2.970957713,0.25,0.029370043,NA,NA,NA
133,EMSALIX,2008,PIMO,24,2.883700558,32,2.970957713,0.75,0.970629957,NA,NA,NA
134,EMSALIX,2009,PIMO,NA,NA,NA,NA,NA,NA,3,3,1
135,EMSALIX,2013,PICO,9,0.075621454,35,3.171807269,0.257142857,0.023841756,1,1,1
136,EMSALIX,2013,PIMO,26,3.096185816,35,3.171807269,0.742857143,0.976158244,NA,NA,NA
137,CRCRPIPO,1993,ABCO,771,19.44970136,1753,71.13541609,0.439817456,0.273417974,39,62,0.629032258
138,CRCRPIPO,1993,CADE,512,13.94196841,1753,71.13541609,0.292070736,0.195991943,9,62,0.14516129
139,CRCRPIPO,1993,PILA,325,10.30487055,1753,71.13541609,0.185396463,0.14486273,11,62,0.177419355
140,CRCRPIPO,1993,PIPO,104,25.7508509,1753,71.13541609,0.059326868,0.361997614,3,62,0.048387097
141,CRCRPIPO,1993,QUCH,1,0.000176715,1753,71.13541609,0.000570451,2.48E-06,NA,NA,NA
142,CRCRPIPO,1993,QUKE,40,1.687848162,1753,71.13541609,0.022818026,0.023727255,NA,NA,NA
143,CRCRPIPO,1998,ABCO,772,22.41382845,1686,75.09887514,0.457888493,0.298457579,4,9,0.444444444
144,CRCRPIPO,1998,CADE,488,14.62796583,1686,75.09887514,0.289442467,0.194782755,3,9,0.333333333
145,CRCRPIPO,1998,PILA,301,10.75484977,1686,75.09887514,0.178529063,0.143209199,2,9,0.222222222
146,CRCRPIPO,1998,PIPO,91,26.11199117,1686,75.09887514,0.053973903,0.347701495,NA,NA,NA
147,CRCRPIPO,1998,QUCH,1,0.00053093,1686,75.09887514,0.00059312,7.07E-06,NA,NA,NA
148,CRCRPIPO,1998,QUKE,33,1.189708997,1686,75.09887514,0.019572954,0.015841902,NA,NA,NA
149,CRCRPIPO,1999,CADE,NA,NA,NA,NA,NA,NA,2,2,1
150,CRCRPIPO,2003,ABCO,770,23.97316083,1633,78.54500771,0.471524801,0.305215589,4,9,0.444444444
151,CRCRPIPO,2003,CADE,471,15.28874013,1633,78.54500771,0.288426209,0.194649419,2,9,0.222222222
152,CRCRPIPO,2003,PILA,273,11.64171167,1633,78.54500771,0.167176975,0.14821708,3,9,0.333333333
153,CRCRPIPO,2003,PIPO,85,26.52211291,1633,78.54500771,0.052051439,0.33766771,NA,NA,NA
154,CRCRPIPO,2003,QUCH,1,0.000855301,1633,78.54500771,0.00061237,1.09E-05,NA,NA,NA
155,CRCRPIPO,2003,QUKE,33,1.118426879,1633,78.54500771,0.020208206,0.014239312,NA,NA,NA
156,CRCRPIPO,2008,ABCO,738,25.35558028,1541,80.27079246,0.478909799,0.315875545,1,5,0.2
157,CRCRPIPO,2008,CADE,456,15.42515488,1541,80.27079246,0.295911746,0.192163979,2,5,0.4
158,CRCRPIPO,2008,PILA,246,11.95684399,1541,80.27079246,0.1596366,0.148956347,2,5,0.4
159,CRCRPIPO,2008,PIPO,74,26.46725822,1541,80.27079246,0.048020766,0.329724641,NA,NA,NA
160,CRCRPIPO,2008,QUCH,1,0.001385446,1541,80.27079246,0.000648929,1.73E-05,NA,NA,NA
161,CRCRPIPO,2008,QUKE,26,1.064569645,1541,80.27079246,0.016872161,0.013262229,NA,NA,NA
162,CRCRPIPO,2009,ABCO,NA,NA,NA,NA,NA,NA,2,2,1
163,CRCRPIPO,2013,ABCO,22,6.124945827,59,21.61351704,0.372881356,0.283384968,NA,NA,NA
164,CRCRPIPO,2013,CADE,12,3.274649116,59,21.61351704,0.203389831,0.151509313,1,1,1
165,CRCRPIPO,2013,PILA,5,2.61733529,59,21.61351704,0.084745763,0.121097149,NA,NA,NA
166,CRCRPIPO,2013,PIPO,18,9.454721384,59,21.61351704,0.305084746,0.437444835,NA,NA,NA
167,CRCRPIPO,2013,QUKE,2,0.14186542,59,21.61351704,0.033898305,0.006563736,NA,NA,NA
168,EMSLOPE,1983,ABMA,1,0.000132733,60,19.68685682,0.016666667,6.74E-06,NA,NA,NA
169,EMSLOPE,1983,PICO,6,0.14009494,60,19.68685682,0.1,0.007116166,1,27,0.037037037
170,EMSLOPE,1983,PIJE,6,0.026155391,60,19.68685682,0.1,0.001328571,NA,NA,NA
171,EMSLOPE,1983,PIMO,47,19.52047376,60,19.68685682,0.783333333,0.991548521,26,27,0.962962963
172,EMSLOPE,1988,ABMA,1,0.002206189,58,20.16244087,0.017241379,0.000109421,NA,NA,NA
173,EMSLOPE,1988,PICO,6,0.155101577,58,20.16244087,0.103448276,0.007692599,1,26,0.038461538
174,EMSLOPE,1988,PIJE,3,0.004494059,58,20.16244087,0.051724138,0.000222893,NA,NA,NA
175,EMSLOPE,1988,PIMO,48,20.00063904,58,20.16244087,0.827586207,0.991975087,25,26,0.961538462
176,EMSLOPE,1993,ABMA,1,0.002206189,59,21.03915461,0.016949153,0.000104861,NA,NA,NA
177,EMSLOPE,1993,PICO,6,0.178475867,59,21.03915461,0.101694915,0.008483034,1,24,0.041666667
178,EMSLOPE,1993,PIJE,2,0.000968398,59,21.03915461,0.033898305,4.60E-05,NA,NA,NA
179,EMSLOPE,1993,PIMO,50,20.85750416,59,21.03915461,0.847457627,0.991366076,23,24,0.958333333
180,EMSLOPE,1998,ABMA,1,0.005808818,81,22.41710593,0.012345679,0.000259124,NA,NA,NA
181,EMSLOPE,1998,PICO,6,0.182186882,81,22.41710593,0.074074074,0.008127137,1,1,1
182,EMSLOPE,1998,PIJE,2,0.003632475,81,22.41710593,0.024691358,0.00016204,NA,NA,NA
183,EMSLOPE,1998,PIMO,72,22.22547775,81,22.41710593,0.888888889,0.991451699,NA,NA,NA
184,EMSLOPE,2003,ABMA,1,0.013069841,86,22.908859,0.011627907,0.000570515,NA,NA,NA
185,EMSLOPE,2003,PICO,8,0.216802601,86,22.908859,0.093023256,0.009463701,NA,NA,NA
186,EMSLOPE,2003,PIJE,2,0.005687081,86,22.908859,0.023255814,0.000248248,NA,NA,NA
187,EMSLOPE,2003,PIMO,75,22.67329948,86,22.908859,0.872093023,0.989717536,NA,NA,NA
188,EMSLOPE,2008,ABMA,1,0.017436665,86,22.72842671,0.011627907,0.000767174,NA,NA,NA
189,EMSLOPE,2008,PICO,8,0.235898817,86,22.72842671,0.093023256,0.010379021,NA,NA,NA
190,EMSLOPE,2008,PIJE,2,0.009155408,86,22.72842671,0.023255814,0.000402817,NA,NA,NA
191,EMSLOPE,2008,PIMO,75,22.46593582,86,22.72842671,0.872093023,0.988450987,1,1,1
192,EMSLOPE,2013,ABMA,1,0.024052875,84,23.21427907,0.011904762,0.001036124,NA,NA,NA
193,EMSLOPE,2013,PICO,8,0.263273149,84,23.21427907,0.095238095,0.011341,NA,NA,NA
194,EMSLOPE,2013,PIJE,3,0.011608997,84,23.21427907,0.035714286,0.00050008,NA,NA,NA
195,EMSLOPE,2013,PIMO,72,22.91534405,84,23.21427907,0.857142857,0.987122795,4,4,1
196,SUPILA,1982,ABCO,522,39.81285304,765,74.11955454,0.682352941,0.537143717,107,185,0.578378378
197,SUPILA,1982,ABMA,1,0.02061204,765,74.11955454,0.00130719,0.000278092,1,185,0.005405405
198,SUPILA,1982,CADE,71,5.306942349,765,74.11955454,0.092810458,0.07159976,33,185,0.178378378
199,SUPILA,1982,PILA,164,28.92528124,765,74.11955454,0.214379085,0.390251688,15,185,0.081081081
200,SUPILA,1982,PIPO,2,0.007032471,765,74.11955454,0.002614379,9.49E-05,NA,NA,NA
201,SUPILA,1982,QUKE,5,0.0468334,765,74.11955454,0.006535948,0.000631863,29,185,0.156756757
202,SUPILA,1988,ABCO,538,40.09226677,782,75.12671094,0.68797954,0.533661946,80,148,0.540540541
203,SUPILA,1988,ABMA,1,0.025165,782,75.12671094,0.001278772,0.000334967,1,148,0.006756757
204,SUPILA,1988,CADE,73,5.599432328,782,75.12671094,0.093350384,0.074533175,31,148,0.209459459
205,SUPILA,1988,PILA,162,29.35434969,782,75.12671094,0.207161125,0.390731197,9,148,0.060810811
206,SUPILA,1988,PIPO,1,0.005410621,782,75.12671094,0.001278772,7.20E-05,NA,NA,NA
207,SUPILA,1988,QUKE,7,0.050086529,782,75.12671094,0.008951407,0.000666694,27,148,0.182432432
208,SUPILA,1994,ABCO,539,38.26280265,766,68.11136044,0.703655352,0.561768292,44,86,0.511627907
209,SUPILA,1994,ABMA,2,0.029637853,766,68.11136044,0.002610966,0.000435138,NA,NA,NA
210,SUPILA,1994,CADE,85,5.969075285,766,68.11136044,0.110966057,0.087637,19,86,0.220930233
211,SUPILA,1994,PILA,122,23.78918586,766,68.11136044,0.15926893,0.349268987,7,86,0.081395349
212,SUPILA,1994,QUKE,18,0.060658796,766,68.11136044,0.023498695,0.000890583,16,86,0.186046512
213,SUPILA,1999,ABCO,571,41.36284256,803,72.1577097,0.711083437,0.573228318,1,4,0.25
214,SUPILA,1999,ABMA,2,0.036583931,803,72.1577097,0.00249066,0.000507,NA,NA,NA
215,SUPILA,1999,CADE,103,6.342942278,803,72.1577097,0.128268991,0.087903875,NA,NA,NA
216,SUPILA,1999,PILA,100,24.37723804,803,72.1577097,0.124533001,0.337832757,NA,NA,NA
217,SUPILA,1999,QUKE,27,0.038102893,803,72.1577097,0.03362391,0.00052805,3,4,0.75
218,SUPILA,2004,ABCO,553,36.77109653,779,66.53870468,0.709884467,0.552627177,1,4,0.25
219,SUPILA,2004,ABMA,2,0.042594601,779,66.53870468,0.002567394,0.000640148,NA,NA,NA
220,SUPILA,2004,CADE,119,6.741611282,779,66.53870468,0.152759949,0.101318643,NA,NA,NA
221,SUPILA,2004,PILA,73,22.9420109,779,66.53870468,0.093709884,0.344791968,NA,NA,NA
222,SUPILA,2004,QUKE,32,0.041391365,779,66.53870468,0.041078306,0.000622064,3,4,0.75
223,SUPILA,2007,PILA,NA,NA,NA,NA,NA,NA,1,1,1
224,SUPILA,2009,ABCO,525,34.84710786,743,65.88972792,0.706594886,0.528870113,7,13,0.538461538
225,SUPILA,2009,ABMA,2,0.051377726,743,65.88972792,0.00269179,0.000779753,NA,NA,NA
226,SUPILA,2009,CADE,120,7.16953411,743,65.88972792,0.161507402,0.108811105,2,13,0.153846154
227,SUPILA,2009,PILA,69,23.77426849,743,65.88972792,0.092866756,0.360819042,NA,NA,NA
228,SUPILA,2009,QUKE,27,0.047439731,743,65.88972792,0.036339166,0.000719987,4,13,0.307692308
229,SUPILA,2010,ABCO,NA,NA,NA,NA,NA,NA,14,21,0.666666667
230,SUPILA,2010,CADE,NA,NA,NA,NA,NA,NA,3,21,0.142857143
231,SUPILA,2010,QUKE,NA,NA,NA,NA,NA,NA,4,21,0.19047619
232,SUPILA,2011,ABCO,NA,NA,NA,NA,NA,NA,16,20,0.8
233,SUPILA,2011,CADE,NA,NA,NA,NA,NA,NA,1,20,0.05
234,SUPILA,2011,PILA,NA,NA,NA,NA,NA,NA,3,20,0.15
235,SUPILA,2012,ABCO,NA,NA,NA,NA,NA,NA,14,14,1
236,SUPILA,2013,ABCO,NA,NA,NA,NA,NA,NA,4,5,0.8
237,SUPILA,2013,CADE,NA,NA,NA,NA,NA,NA,1,5,0.2
238,PGABMA,1992,ABMA,762,96.84838877,765,96.86907621,0.996078431,0.999786439,10,10,1
239,PGABMA,1992,PIMO,3,0.020687436,765,96.86907621,0.003921569,0.000213561,NA,NA,NA
240,PGABMA,1997,ABMA,727,97.52063023,730,97.54443963,0.995890411,0.999755912,NA,NA,NA
241,PGABMA,1997,PIMO,3,0.023809402,730,97.54443963,0.004109589,0.000244088,NA,NA,NA
242,PGABMA,2002,ABMA,682,94.43564576,684,94.45151084,0.997076023,0.999832029,NA,NA,NA
243,PGABMA,2002,PIMO,2,0.01586508,684,94.45151084,0.002923977,0.000167971,NA,NA,NA
244,PGABMA,2007,ABMA,630,91.25577994,632,91.27571025,0.996835443,0.999781647,4,4,1
245,PGABMA,2007,PIMO,2,0.01993031,632,91.27571025,0.003164557,0.000218353,NA,NA,NA
246,PGABMA,2012,ABMA,587,88.46650645,589,88.48905843,0.996604414,0.999745144,6,6,1
247,PGABMA,2012,PIMO,2,0.022551976,589,88.48905843,0.003395586,0.000254856,NA,NA,NA
248,PGABMA,2013,ABMA,NA,NA,NA,NA,NA,NA,3,3,1
249,SUABCO,1983,ABCO,404,37.74658009,680,64.0335312,0.594117647,0.58948147,36,64,0.5625
250,SUABCO,1983,ABMA,26,5.169309554,680,64.0335312,0.038235294,0.080728166,7,64,0.109375
251,SUABCO,1983,CADE,191,10.35446085,680,64.0335312,0.280882353,0.16170373,17,64,0.265625
252,SUABCO,1983,PILA,59,10.76318071,680,64.0335312,0.086764706,0.168086634,3,64,0.046875
253,SUABCO,1983,QUKE,NA,NA,NA,NA,NA,NA,1,64,0.015625
254,SUABCO,1988,ABCO,398,40.07986909,664,68.20600678,0.59939759,0.587629609,25,42,0.595238095
255,SUABCO,1988,ABMA,28,5.526818084,664,68.20600678,0.042168675,0.081031251,5,42,0.119047619
256,SUABCO,1988,CADE,182,10.67650382,664,68.20600678,0.274096386,0.15653319,10,42,0.238095238
257,SUABCO,1988,PILA,56,11.92281578,664,68.20600678,0.084337349,0.17480595,1,42,0.023809524
258,SUABCO,1988,QUKE,NA,NA,NA,NA,NA,NA,1,42,0.023809524
259,SUABCO,1994,ABCO,362,36.41502093,602,65.43658045,0.601328904,0.556493336,14,25,0.56
260,SUABCO,1994,ABMA,32,5.880943378,602,65.43658045,0.053156146,0.089872413,1,25,0.04
261,SUABCO,1994,CADE,157,10.83190907,602,65.43658045,0.260797342,0.165532933,7,25,0.28
262,SUABCO,1994,PILA,51,12.30870706,602,65.43658045,0.084717608,0.188101319,2,25,0.08
