Location: CCRPIPO Setup
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\071715-CRCRPIPOsetup.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Abs Den: NR4	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl Abs BA: NR4	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUCH	Sapl Rel BA: QUKE	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Rel BA: NR4	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Abs Den: NR4	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUCH	Sapl Rel Den: QUKE	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Sapl Rel Den: NR4	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult Abs BA: NR4	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUCH	Adult Rel BA: QUKE	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Rel BA: NR4	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Abs Den: NR4	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUCH	Adult Rel Den: QUKE	Adult Rel Den: NR2	Adult Rel Den: NR3	Adult Rel Den: NR4	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Abs Den: NR4	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Abs Den: NR4	Natural Dead Sapl Den Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Abs Den: NR4	Natural Dead Adult Den Total:
10	0	377.556	85.5556	11.7778	8.77778	0	7.55556	0	0	0	491.222	3.24288	1.33628	2.29896	0.457503	0.000287275	0.0833311	0	0	0	7.41924	0.437091	0.18011	0.309864	0.0616644	3.87203e-005	0.0112318	0	0	0	438.444	285.111	218.222	41.5556	0.777778	14	0	0	0	998.111	0.439274	0.285651	0.218635	0.0416342	0.00077925	0.0140265	0	0	0	24.4152	14.4087	8.14467	284.311	0.000734559	6.78869	0	0	0	338.069	0.0722195	0.0426207	0.0240917	0.840985	2.17281e-006	0.0200808	0	0	0	76.3333	105.556	18.2222	44.3333	0.111111	17.7778	0	0	0	262.333	0.290978	0.402372	0.0694621	0.168996	0.000423549	0.0677679	0	0	0	15	2.44444	0.333333	0.111111	0	0.444444	0	0	0	18.3333	16.3333	8.88889	6.77778	0.888889	0	0.333333	0	0	0	33.2222	2	2.33333	0.777778	1.11111	0	0.555556	0	0	0	6.77778
11	0	395.333	91.4444	12.5556	9.33333	0	8.44444	0	0	0	517.111	3.14201	1.30953	2.23319	0.454573	0.000297748	0.0801718	0	0	0	7.21978	0.435195	0.181381	0.309316	0.0629622	4.12406e-005	0.0111045	0	0	0	419.111	276	210.889	40.7778	0.777778	13.4444	0	0	0	961	0.43612	0.287201	0.219447	0.0424327	0.000809342	0.0139901	0	0	0	23.8324	13.7479	7.95926	283.279	0.000743371	6.78002	0	0	0	335.599	0.0710144	0.0409653	0.0237166	0.844099	2.21506e-006	0.0202027	0	0	0	72.7778	102.444	17.7778	43.6667	0.111111	17.2222	0	0	0	254	0.286527	0.403325	0.0699913	0.171916	0.000437445	0.067804	0	0	0	17.2222	3	0.222222	0.333333	0	0.222222	0	0	0	21	19.1111	9	7.33333	0.777778	0	0.555556	0	0	0	36.7778	3.77778	3.22222	0.444444	0.666667	0	0.555556	0	0	0	8.66667
12	0	414	97.4444	13.7778	10.2222	0	8.88889	0	0	0	544.333	3.03712	1.2858	2.19402	0.452083	0.000308428	0.0777659	0	0	0	7.04711	0.430974	0.182458	0.311337	0.0641516	4.37666e-005	0.0110352	0	0	0	402.667	268.222	204.889	40.1111	0.777778	12.8889	0	0	0	929.556	0.433182	0.288549	0.220416	0.0431508	0.00083672	0.0138656	0	0	0	23.262	13.0339	7.40829	282.184	0.000752241	6.70315	0	0	0	332.592	0.0699416	0.0391887	0.0222744	0.848439	2.26175e-006	0.0201542	0	0	0	69.8889	99.5556	17.3333	42.6667	0.111111	16.4444	0	0	0	246	0.284101	0.404697	0.0704607	0.173442	0.000451671	0.0668473	0	0	0	17.6667	2.11111	0.222222	0.111111	0	0.111111	0	0	0	20.2222	16.1111	7.11111	5.88889	0.666667	0	0.555556	0	0	0	30.3333	3.22222	3.55556	0.555556	1	0	0.777778	0	0	0	9.11111
13	0	435.222	102.222	14.2222	11.3333	0	8.11111	0	0	0	571.111	2.94175	1.27069	2.1704	0.444321	0.000319315	0.0792423	0	0	0	6.90671	0.425926	0.183978	0.314245	0.0643318	4.62325e-005	0.0114732	0	0	0	386.667	260.667	199.111	39.2222	0.777778	14	0	0	0	900.444	0.429418	0.289487	0.221125	0.0435587	0.000863771	0.0155479	0	0	0	22.3091	12.7863	7.288	281.311	0.000761162	6.69714	0	0	0	330.392	0.0675231	0.0387002	0.0220586	0.851446	2.30381e-006	0.0202703	0	0	0	66.7778	97.1111	16.8889	41.6667	0.111111	16.1111	0	0	0	238.667	0.279795	0.40689	0.0707635	0.174581	0.000465549	0.0675047	0	0	0	13.7778	2.88889	0.666667	0.111111	0	0.222222	0	0	0	17.6667	15.7778	7.44444	5.77778	0.777778	0	0.111111	0	0	0	29.8889	3.33333	2.55556	0.444444	1.11111	0	0.333333	0	0	0	7.77778
14	0	449.556	105.444	15.4444	11.8889	0	8.55556	0	0	0	590.889	2.82203	1.25335	2.12574	0.442097	0.000330408	0.0800423	0	0	0	6.72359	0.419721	0.18641	0.316161	0.065753	4.91416e-005	0.0119047	0	0	0	370.778	253.222	193.889	38.5556	0.777778	14.1111	0	0	0	871.333	0.425529	0.290615	0.22252	0.0442489	0.000892629	0.0161948	0	0	0	21.6322	12.3883	6.95455	280.718	0.000770136	6.69715	0	0	0	328.391	0.0658732	0.0377243	0.0211776	0.854829	2.34518e-006	0.0203938	0	0	0	64.4444	95	16.2222	40.6667	0.111111	15.7778	0	0	0	232.222	0.277512	0.409091	0.0698565	0.17512	0.000478469	0.0679426	0	0	0	17.5556	3.66667	0.111111	0.222222	0	0.111111	0	0	0	21.6667	15.5556	7.22222	5.22222	0.666667	0	0.222222	0	0	0	28.8889	2.66667	2.33333	0.666667	1	0	0.333333	0	0	0	7
15	0	460.778	108.889	16	12.5556	0	8.33333	0	0	0	606.555	2.70625	1.22959	2.08002	0.429379	0.000341709	0.0798294	0	0	0	6.52541	0.414725	0.188432	0.318756	0.065801	5.23659e-005	0.0122336	0	0	0	354.222	246.889	187.333	37.6667	0.777778	14.5556	0	0	0	841.444	0.420969	0.293411	0.222633	0.0447643	0.000924336	0.0172983	0	0	0	20.9244	12.2414	6.94147	277.258	0.000779163	5.96432	0	0	0	323.331	0.0647151	0.0378603	0.0214686	0.857507	2.4098e-006	0.0184465	0	0	0	60.5556	92.7778	16.1111	39.8889	0.111111	14.8889	0	0	0	224.333	0.269936	0.413571	0.0718177	0.177811	0.000495295	0.0663695	0	0	0	18.8889	3.11111	0.333333	0.111111	0	0.111111	0	0	0	22.5556	16.4444	5.77778	6.44444	0.666667	0	0.333333	0	0	0	29.6667	4	2.77778	0.222222	1	0	0.888889	0	0	0	8.88889
16	0	473.222	113.444	16.2222	12.4444	0	8.11111	0	0	0	623.444	2.60533	1.20882	2.03128	0.422677	0.000353216	0.0745535	0	0	0	6.34302	0.41074	0.190576	0.320238	0.0666367	5.56858e-005	0.0117536	0	0	0	339.444	240.889	181.889	36.5556	0.777778	14.2222	0	0	0	813.778	0.417122	0.296013	0.223512	0.0449208	0.000955762	0.0174768	0	0	0	20.3902	12.0959	6.65859	276.87	0.000788243	5.94003	0	0	0	321.956	0.0633322	0.0375701	0.0206817	0.859964	2.44829e-006	0.0184498	0	0	0	58.8889	90.4444	15.3333	38.8889	0.111111	14.3333	0	0	0	218	0.270133	0.414883	0.0703364	0.178389	0.000509684	0.0657492	0	0	0	16.6667	3.22222	0.555556	0.333333	0	0.444444	0	0	0	21.2222	14.4444	5.55556	5.44444	1.11111	0	0.777778	0	0	0	27.3333	2	2.77778	0.777778	1	0	0.555556	0	0	0	7.11111
17	0	484.556	117.778	15.2222	12.5556	0	7.66667	0	0	0	637.778	2.51394	1.18955	1.99154	0.410149	0.00036493	0.0738247	0	0	0	6.17937	0.406829	0.192503	0.322289	0.066374	5.90563e-005	0.011947	0	0	0	325.667	234.778	176.667	36.5556	0.777778	14.3333	0	0	0	788.778	0.412875	0.297648	0.223975	0.0463446	0.000986054	0.0181716	0	0	0	19.7589	11.8457	6.51596	275.606	0.000797376	5.92015	0	0	0	319.648	0.0618148	0.0370585	0.0203848	0.862218	2.49455e-006	0.0185209	0	0	0	56.7778	88.1111	15	38.5556	0.111111	14	0	0	0	212.556	0.26712	0.414532	0.0705698	0.18139	0.000522739	0.0658651	0	0	0	19.6667	3.66667	0.666667	0	0	0.555556	0	0	0	24.5556	13.4444	6.11111	6.66667	0.444444	0	0.444444	0	0	0	27.1111	2.44444	2.55556	0.333333	0.666667	0	0.333333	0	0	0	6.33333
18	0	495.444	114.556	14.6667	12.4444	0	7.77778	0	0	0	644.889	2.4047	1.16692	1.94184	0.403485	0.000376851	0.0716973	0	0	0	5.98902	0.401518	0.194843	0.324234	0.0673708	6.29237e-005	0.0119715	0	0	0	312.333	235.111	171.667	36.6667	0.777778	14.1111	0	0	0	770.667	0.405277	0.305075	0.222751	0.0475779	0.00100923	0.0183103	0	0	0	18.6059	11.7104	6.42547	271.306	0.000806562	5.89863	0	0	0	313.947	0.0592645	0.0373005	0.0204667	0.864177	2.5691e-006	0.0187886	0	0	0	55.5556	87	14.7778	37.5556	0.111111	13.3333	0	0	0	208.333	0.266667	0.4176	0.0709333	0.180267	0.000533333	0.064	0	0	0	18.5556	3.22222	0.555556	0.222222	0	0.222222	0	0	0	22.7778	12.8889	5.88889	5.44444	0.666667	0	0.333333	0	0	0	25.2222	1.66667	1.66667	0.222222	1	0	0.666667	0	0	0	5.22222
19	0	500.333	111.111	15	12.1111	0	7.77778	0	0	0	646.333	2.32863	1.1415	1.89675	0.388717	0.000388979	0.0679975	0	0	0	5.82397	0.399835	0.195999	0.325679	0.0667442	6.67893e-005	0.0116755	0	0	0	298.889	235	166.333	36.2222	0.777778	14.3333	0	0	0	751.556	0.397694	0.312685	0.221319	0.0481963	0.00103489	0.0190716	0	0	0	18.2666	11.3421	5.92615	270.927	0.0008158	5.88959	0	0	0	312.352	0.058481	0.036312	0.0189727	0.867376	2.6118e-006	0.0188556	0	0	0	52.6667	85.4444	14.4444	36.7778	0.111111	13	0	0	0	202.444	0.260154	0.422064	0.0713502	0.181668	0.000548847	0.0642151	0	0	0	20.1111	2.88889	0.555556	0.111111	0	0	0	0	0	23.6667	13.3333	7	5.44444	1.11111	0	0.333333	0	0	0	27.2222	3	1.77778	0.444444	0.888889	0	0.333333	0	0	0	6.44444
20	0	481.556	106.222	14.5556	12	0	7.77778	0	0	0	622.111	2.25709	1.11392	1.81936	0.373818	0.000401314	0.0597148	0	0	0	5.6243	0.401311	0.198055	0.323481	0.0664648	7.13536e-005	0.0106173	0	0	0	312.778	233.667	162.556	35.6667	0.777778	14.2222	0	0	0	759.667	0.41173	0.307591	0.213983	0.0469504	0.00102384	0.0187217	0	0	0	17.3609	10.7992	5.85339	270.324	0.000825091	5.87874	0	0	0	310.217	0.0559637	0.0348116	0.0188687	0.871403	2.65972e-006	0.0189504	0	0	0	50	83.3333	14.3333	36.2222	0.111111	12.8889	0	0	0	196.889	0.25395	0.423251	0.0727991	0.183973	0.000564334	0.0654628	0	0	0	18.7778	2.88889	0.222222	0.222222	0	0.111111	0	0	0	22.2222	12.5556	7.88889	4.77778	1	0	1	0	0	0	27.2222	2.77778	2.44444	0.333333	0.555556	0	0.222222	0	0	0	6.33333
