Location: CCRPIPO Setup
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\080415-CCRPIPO-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Abs Den: NR4	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl Abs BA: NR4	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Rel BA: NR4	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Abs Den: NR4	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Sapl Rel Den: NR4	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult Abs BA: NR4	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Rel BA: NR4	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Abs Den: NR4	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Adult Rel Den: NR4	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Abs Den: NR4	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: NR1	Natural Dead Sapl Abs BA: NR2	Natural Dead Sapl Abs BA: NR3	Natural Dead Sapl Abs BA: NR4	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Abs Den: NR4	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: NR1	Natural Dead Adult Abs BA: NR2	Natural Dead Adult Abs BA: NR3	Natural Dead Adult Abs BA: NR4	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Abs Den: NR4	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	4.39814	1.38796	0.521181	0.213354	0.640071	0	0	0	0	7.16071	0.614205	0.19383	0.0727834	0.0297951	0.0893865	0	0	0	0	766.889	388.667	92.4444	55.3333	214.667	0	0	0	0	1518	0.505197	0.256039	0.0608988	0.0364515	0.141414	0	0	0	0	22.4306	143.986	1.09018	50.2292	23.8953	0	0	0	0	241.632	0.0928297	0.595892	0.00451172	0.207875	0.0988913	0	0	0	0	91.1111	166.667	4.33333	9.77778	62.5556	0	0	0	0	334.444	0.272425	0.498339	0.0129568	0.0292359	0.187043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	21.1111	15.1111	0.333333	0.555556	3	0	0	0	0	40.1111	4.41116	1.40302	0.488995	0.217604	0.628166	0	0	0	0	7.14894	0.617037	0.196255	0.068401	0.0304387	0.0878684	0	0	0	0	753	383.444	87.6667	54.2222	208.889	0	0	0	0	1487.22	0.506313	0.257826	0.0589466	0.0364587	0.140456	0	0	0	0	22.5155	143.781	1.08786	44.6451	23.6158	0	0	0	0	235.645	0.0955482	0.610159	0.00461651	0.189459	0.100217	0	0	0	0	91.1111	165.444	4.33333	9.55556	61.7778	0	0	0	0	332.222	0.274247	0.497993	0.0130435	0.0287625	0.185953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0813386	0.0114329	0.039558	0.00312662	0.0181959	0	0	0	0	0.153652	12.6667	4.11111	4.66667	1.11111	5	0	0	0	0	27.5556	0.122655	0.52381	0.02317	5.6219	0.363157	0	0	0	0	6.65469	1.22222	2.33333	0.111111	0.222222	1.55556	0	0	0	0	5.44444
2	0	36.6667	25.8889	0.444444	1.44444	5.33333	0	0	0	0	69.7778	4.4426	1.40922	0.482538	0.208336	0.625289	0	0	0	0	7.16798	0.619784	0.196599	0.0673185	0.0290648	0.0872336	0	0	0	0	739.778	378.111	82.8889	52	203.778	0	0	0	0	1456.56	0.507895	0.259593	0.0569075	0.0357007	0.139904	0	0	0	0	21.6483	143.038	1.06405	44.6515	23.5193	0	0	0	0	233.921	0.0925455	0.611479	0.00454874	0.190883	0.100544	0	0	0	0	91.4444	165.222	4.11111	9.44444	61.2222	0	0	0	0	331.444	0.275897	0.498491	0.0124036	0.0284948	0.184713	0	0	0	0	4.22222	2.88889	0	0	0.666667	0	0	0	0	7.77778	0.0635948	0.0100359	0.0235952	0.0123682	0.0147227	0	0	0	0	0.124317	12	3.66667	4.77778	2.11111	4.66667	0	0	0	0	27.2222	1.07487	1.07136	0.0343774	0.0323215	0.17319	0	0	0	0	2.38613	0.888889	1.88889	0.222222	0.222222	1	0	0	0	0	4.22222
3	0	52	35.2222	0.666667	1.55556	6.88889	0	0	0	0	96.3333	4.48277	1.43209	0.448389	0.207577	0.619939	0	0	0	0	7.19076	0.623406	0.199157	0.0623563	0.0288671	0.0862132	0	0	0	0	725.889	374.222	77	50.7778	198.889	0	0	0	0	1426.78	0.508761	0.262285	0.0539678	0.0355891	0.139397	0	0	0	0	21.1271	142.03	1.04727	9.67424	23.3052	0	0	0	0	197.184	0.107144	0.720293	0.00531112	0.049062	0.11819	0	0	0	0	90.7778	163.889	3.88889	9.11111	60.1111	0	0	0	0	327.778	0.276949	0.5	0.0118644	0.0277966	0.18339	0	0	0	0	8.22222	3.77778	0	0.222222	1	0	0	0	0	13.2222	0.0697909	0.0106012	0.0510591	0.00370335	0.011291	0	0	0	0	0.146446	13	3.11111	5.88889	1.11111	4.11111	0	0	0	0	27.2222	0.714116	1.31724	0.0269517	35.0157	0.295957	0	0	0	0	37.37	1.55556	2.11111	0.222222	0.444444	1.88889	0	0	0	0	6.22222
4	0	60	40.8889	1	1.66667	8	0	0	0	0	111.556	4.5212	1.44775	0.418447	0.213145	0.617981	0	0	0	0	7.21853	0.626333	0.200561	0.0579684	0.0295275	0.0856104	0	0	0	0	714.444	369.333	71.7778	50.2222	193.444	0	0	0	0	1399.22	0.510601	0.263956	0.0512983	0.035893	0.138251	0	0	0	0	20.8103	140.454	1.04106	9.68399	22.0507	0	0	0	0	194.04	0.107247	0.723841	0.00536518	0.0499071	0.11364	0	0	0	0	90.6667	163.111	3.77778	8.88889	58.3333	0	0	0	0	324.778	0.279165	0.502224	0.0116319	0.0273691	0.17961	0	0	0	0	13.8889	7	0.111111	0.444444	1.22222	0	0	0	0	22.6667	0.0532425	0.0183859	0.0460222	0.00181082	0.0116027	0	0	0	0	0.131064	10.1111	4.11111	5.22222	0.555556	4.88889	0	0	0	0	24.8889	0.526634	1.88234	0.0160345	0.0156754	1.33134	0	0	0	0	3.77202	1.44444	1.55556	0.111111	0.222222	2.33333	0	0	0	0	5.66667
5	0	64.7778	44.4444	1	1.88889	9.44444	0	0	0	0	121.556	4.56193	1.46255	0.398619	0.212428	0.607964	0	0	0	0	7.24349	0.629797	0.201912	0.0550314	0.0293268	0.0839325	0	0	0	0	701.556	363.778	68	49.1111	188.556	0	0	0	0	1371	0.511711	0.265338	0.0495988	0.0358214	0.137531	0	0	0	0	20.6726	140.469	1.04931	9.60878	21.7955	0	0	0	0	193.596	0.106782	0.725581	0.00542011	0.0496333	0.112583	0	0	0	0	89.8889	162.111	3.77778	8.55556	57.6667	0	0	0	0	322	0.279158	0.503451	0.0117322	0.02657	0.179089	0	0	0	0	15	7.44444	0.111111	0.333333	1.88889	0	0	0	0	24.7778	0.080288	0.0195582	0.0247694	0.00827631	0.0176053	0	0	0	0	0.150497	12.2222	4.77778	3.66667	1.11111	4.22222	0	0	0	0	26	0.318003	0.288948	0.0117619	0.100455	0.331458	0	0	0	0	1.05063	1.44444	1.77778	0.111111	0.333333	1.33333	0	0	0	0	5
6	0	71.5556	50	0.666667	2.33333	10	0	0	0	0	134.556	4.55373	1.47297	0.396709	0.213231	0.601671	0	0	0	0	7.23831	0.629115	0.203496	0.0548068	0.0294587	0.0831231	0	0	0	0	688	358.222	64.5556	48	183.556	0	0	0	0	1342.33	0.51254	0.266865	0.048092	0.0357586	0.136744	0	0	0	0	20.6749	140.261	0.99614	9.49506	21.5854	0	0	0	0	193.013	0.107117	0.726694	0.00516101	0.049194	0.111834	0	0	0	0	90.4444	161.667	3.44444	8.33333	56.6667	0	0	0	0	320.556	0.282149	0.504333	0.0107452	0.0259965	0.176776	0	0	0	0	15.3333	8.66667	0.333333	0.333333	2	0	0	0	0	26.6667	0.0825295	0.0199754	0.0167178	0.00678194	0.013657	0	0	0	0	0.139662	11.7778	4.55556	3.77778	1.11111	4.33333	0	0	0	0	25.5556	0.223817	0.515916	0.0628696	0.138253	0.285317	0	0	0	0	1.22617	1.22222	1.44444	0.333333	0.222222	1.66667	0	0	0	0	4.88889
7	0	73.7778	52.8889	1	3	10.2222	0	0	0	0	140.889	4.6027	1.47906	0.369938	0.220125	0.594427	0	0	0	0	7.26625	0.633435	0.203552	0.0509119	0.0302942	0.0818066	0	0	0	0	682.111	353.444	60.4444	47.2222	177.556	0	0	0	0	1320.78	0.516447	0.267603	0.0457643	0.0357533	0.134433	0	0	0	0	20.6017	139.872	0.959244	9.49235	21.3603	0	0	0	0	192.286	0.107141	0.727418	0.00498864	0.0493659	0.111086	0	0	0	0	90.1111	161.444	3.22222	8.11111	56	0	0	0	0	318.889	0.282578	0.506272	0.0101045	0.0254355	0.17561	0	0	0	0	15.6667	10.2222	0	0.111111	2.66667	0	0	0	0	28.6667	0.0587411	0.011812	0.0413325	0.000738165	0.0163207	0	0	0	0	0.128945	10.5556	3.11111	4.22222	0.777778	5.44444	0	0	0	0	24.1111	0.266723	0.708771	0.0458997	0.0267019	0.297281	0	0	0	0	1.34538	1.33333	1.88889	0.222222	0.222222	1.22222	0	0	0	0	4.88889
8	0	73	50.5556	1	2.55556	10.5556	0	0	0	0	137.667	4.63252	1.49988	0.361297	0.226363	0.587775	0	0	0	0	7.30784	0.633911	0.205243	0.0494396	0.0309754	0.0804307	0	0	0	0	675.556	353.444	57.1111	47.1111	172.222	0	0	0	0	1305.44	0.517491	0.270746	0.0437484	0.0360882	0.131926	0	0	0	0	20.4266	139.906	0.898319	9.51609	20.8035	0	0	0	0	191.551	0.106638	0.730387	0.00468971	0.0496792	0.108606	0	0	0	0	89.2222	160.333	2.77778	8.11111	54.8889	0	0	0	0	315.333	0.282946	0.508457	0.00880902	0.0257223	0.174066	0	0	0	0	16.1111	9.55556	0.111111	0.333333	2.11111	0	0	0	0	28.2222	0.0836019	0.0124091	0.0225362	0.00161484	0.0154571	0	0	0	0	0.135619	11.8889	3.33333	3.33333	0.444444	4.77778	0	0	0	0	23.7778	0.363409	0.269101	0.0694577	0	0.628054	0	0	0	0	1.33002	1.77778	2	0.444444	0	1.66667	0	0	0	0	5.88889
9	0	72.6667	51.5556	0.777778	2.77778	10.1111	0	0	0	0	137.889	4.67596	1.50778	0.354544	0.223853	0.589041	0	0	0	0	7.35118	0.636084	0.205107	0.0482295	0.0304513	0.0801288	0	0	0	0	668.778	352.222	53.6667	46.1111	169.778	0	0	0	0	1290.56	0.518209	0.272923	0.0415842	0.0357297	0.131554	0	0	0	0	20.3873	139.611	0.848639	9.46321	20.7115	0	0	0	0	191.022	0.106728	0.730865	0.00444263	0.0495399	0.108425	0	0	0	0	88.1111	159.778	2.55556	7.77778	53.8889	0	0	0	0	312.111	0.282307	0.511926	0.00818797	0.0249199	0.172659	0	0	0	0	16.6667	9.55556	0.222222	0.111111	2.11111	0	0	0	0	28.6667	0.0655118	0.0131489	0.0203305	0.0105468	0.00739808	0	0	0	0	0.116936	10.8889	3.22222	3.66667	1.33333	2.55556	0	0	0	0	21.6667	0.230742	0.610402	0.0573471	0.0766894	0.161502	0	0	0	0	1.13668	2.11111	2.11111	0.222222	0.333333	1.55556	0	0	0	0	6.33333
