Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-BBBPIPO-Fin.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Abs Den: PICO	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl Abs BA: PICO	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Abs Den: PICO	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult Abs BA: PICO	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Abs Den: PICO	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult Abs BA: PICO	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Den Total:
3	1	427.211	104.308	1.81406	32.6531	0	11.7914	0	0	0	0	577.778	1.27346	2.95115	0.975791	0.16939	0.000591738	0.266884	0	0	0	0	5.63727	108.844	358.277	54.4218	9.97732	2.72109	21.7687	0	0	0	0	556.009	7.1729	24.8601	1.09234	13.0586	0.0786939	14.6293	0	0	0	0	60.892	44.4444	314.739	5.44218	29.932	3.62812	268.481	0	0	0	0	666.667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	2	0	114	1.25	65.75	0.5	19	0	0	0	0	200.5	1.13616	2.83429	0.778053	0.195369	0.00494441	0.432445	0	0	0	0	5.38126	111.25	366.5	52.125	12	4	34.5	0	0	0	0	580.375	15.2136	29.4707	3.07148	29.2758	0.286985	16.7351	0	0	0	0	94.0537	42.625	306.375	6.75	28.375	2.625	262	0	0	0	0	648.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	0	64.5556	136.889	1.77778	74.3333	0.333333	20.5556	0	0	0	0	298.444	1.15613	2.80535	0.789078	0.188736	0.00425294	0.391883	0	0	0	0	5.33543	109.556	356.556	50.2222	11.4444	3.66667	31	0	0	0	0	562.444	14.3803	28.8416	2.82894	25.3153	0.266226	16.5555	0	0	0	0	88.1879	43	308	6.66667	27.8889	2.77778	261.778	0	0	0	0	650.111	12	20	0	7.88889	0.222222	7.11111	0	0	0	0	47.2222	0.00638796	0.0341783	0.014159	0.0060084	0.000419709	0.0119828	0	0	0	0	0.0731362	1	4.66667	1.88889	0.333333	0.222222	1.11111	0	0	0	0	9.22222	0.0139124	0.30827	0	2.37857	0	0.135619	0	0	0	0	2.83637	0.111111	4	0	0.777778	0	1.88889	0	0	0	0	6.77778
4	1	526.984	139.683	2.72109	42.6304	0	12.6984	0	0	0	0	724.717	1.28005	2.9062	0.951846	0.173397	0.00037529	0.224172	0	0	0	0	5.53605	107.029	349.206	51.7007	9.97732	1.81406	19.0476	0	0	0	0	538.776	7.22599	24.8691	1.10275	12.3552	0.0799632	14.678	0	0	0	0	60.311	44.4444	315.646	5.44218	28.1179	3.62812	269.388	0	0	0	0	666.667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	2	0	136.25	1.75	78	0.375	21.375	0	0	0	0	237.75	1.14475	2.78789	0.774509	0.188432	0.00473284	0.413003	0	0	0	0	5.31332	110.125	357.125	50.25	11.5	3.875	32.5	0	0	0	0	565.375	15.2742	29.5002	3.10041	26.8065	0.288484	16.7661	0	0	0	0	91.7359	42.75	306.75	6.875	27.875	2.625	260.875	0	0	0	0	647.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	0	72.6667	159.333	1.88889	85.1111	0.555556	19.2222	0	0	0	0	338.778	1.14716	2.78236	0.770325	0.166612	0.00392606	0.375121	0	0	0	0	5.2455	107.889	349.333	48.3333	10.4444	3.55556	29.6667	0	0	0	0	549.222	14.4493	28.7906	2.83195	24.9974	0.263651	16.5783	0	0	0	0	87.9112	43.3333	308.222	6.55556	27	2.66667	260.222	0	0	0	0	648	14.5556	22.5556	0.444444	11	0.111111	8.55556	0	0	0	0	57.2222	0.00928783	0.0225511	0.0364999	0.022332	0	0	0	0	0	0	0.0906709	1.11111	3.33333	1.88889	0.888889	0	0	0	0	0	0	7.22222	0.0190974	0.391474	0.0135813	0.410414	0.00459259	0.150632	0	0	0	0	0.989792	0.222222	3.66667	0.111111	1	0.222222	2.88889	0	0	0	0	8.11111
5	1	593.197	168.707	2.72109	45.3515	0	11.7914	0	0	0	0	821.769	1.26318	2.80787	0.886475	0.158178	0.000420603	0.22771	0	0	0	0	5.34383	105.215	337.415	48.9796	9.0703	1.81406	19.0476	0	0	0	0	521.542	7.22503	25.0701	1.11322	11.6732	0.0648274	14.5597	0	0	0	0	59.7061	44.4444	320.181	5.44218	27.2109	2.72109	263.946	0	0	0	0	663.946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	2	0	158	1.875	89.625	0.625	20.125	0	0	0	0	270.25	1.13738	2.77643	0.762755	0.16564	0.00435885	0.393708	0	0	0	0	5.24027	108.5	350.625	48.5	10.5	3.75	31	0	0	0	0	552.875	15.3527	29.4189	3.10277	26.5434	0.287674	16.8097	0	0	0	0	91.5152	43.125	306.375	6.75	27	2.625	259.875	0	0	0	0	645.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	0	81.8889	178.222	2.11111	84	0.555556	18.6667	0	0	0	0	365.444	1.15112	2.75674	0.750186	0.163321	0.0041033	0.365063	0	0	0	0	5.19054	106.444	342.444	46.8889	23	3.44444	28.6667	0	0	0	0	550.889	14.4631	28.9065	2.81974	24.6894	0.261621	16.5949	0	0	0	0	87.7352	43.2222	308.333	6.44444	26.1111	2.55556	259	0	0	0	0	645.667	14.2222	27.2222	0.111111	8.33333	0.111111	7.77778	0	0	0	0	57.7778	0.00568602	0.0221698	0.0169278	0.00431668	1.07909e-005	0.00264513	0	0	0	0	0.0517562	1.11111	2.88889	1.44444	0.666667	0.111111	0.222222	0	0	0	0	6.44444	0.0652787	0.226511	0.0492029	0.398563	0.00347532	0.146747	0	0	0	0	0.889779	0.444444	3.88889	0.333333	1	0.111111	2	0	0	0	0	7.77778
6	1	668.481	180.499	2.72109	43.5374	0	8.16327	0	0	0	0	903.401	1.24854	2.83052	0.812506	0.162542	0.000380791	0.200021	0	0	0	0	5.25451	103.401	333.787	47.1655	16.3265	0.90703	17.2336	0	0	0	0	518.821	7.10043	25.2666	1.07271	10.9209	0.0658223	14.5944	0	0	0	0	59.0209	44.4444	320.181	5.44218	24.4898	2.72109	263.946	0	0	0	0	661.225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
