X	Y	Species	Type	Diam
261.08	120.11	ABCO	Adult	5.26
116.98	3.51	ABCO	Adult	44.45
276.85	184.33	ABCO	Adult	11.16
279.15	149.48	ABCO	Adult	4.65
291.73	299.97	ABCO	Adult	10.16
197.54	184.83	ABCO	Adult	11.35
232.08	14.64	ABCO	Adult	33.26
297.96	275.68	ABCO	Adult	3.48
143.43	46.93	ABCO	Adult	26.85
163.35	118.7	ABCO	Adult	43.42
160.02	51.07	ABCO	Adult	26.28
271.52	291.65	ABCO	Adult	14.42
100.43	91.44	ABCO	Adult	8.51
287.21	174.26	ABCO	Adult	16.42
36.04	246.32	ABCO	Adult	7.78
138.99	119.7	ABCO	Adult	86.91
299.3	180.53	ABCO	Adult	8.37
156.81	76.41	ABCO	Adult	32.14
129.73	253.18	ABCO	Adult	2.74
244.86	231.9	ABCO	Adult	10.6
227.04	21.59	ABCO	Adult	15.78
281.73	162.02	ABCO	Adult	12.07
88.02	208.82	ABCO	Adult	2.98
163.7	101.07	ABCO	Adult	7.65
212.05	220.87	ABCO	Adult	16.33
127.37	221.64	ABCO	Adult	20.4
204.27	259.49	ABCO	Adult	14.41
298.71	268.83	ABCO	Adult	5.51
186.05	176.02	ABCO	Adult	17.59
20.02	288.97	ABCO	Adult	18.44
14	267.37	ABCO	Adult	3.19
232.13	74.84	ABCO	Adult	24.65
41	288.79	ABCO	Adult	3.54
281.33	244.05	ABCO	Adult	4.83
181.14	42.69	ABCO	Adult	2.91
273.55	125.8	ABCO	Adult	4.04
181.13	235.73	ABCO	Adult	34.86
154.09	129.15	ABCO	Adult	3.79
84.29	199.3	ABCO	Adult	7.58
131.34	71.12	ABCO	Adult	11.71
109.14	49.52	ABCO	Adult	21.09
186.27	100.06	ABCO	Adult	5.34
288.04	266.81	ABCO	Adult	20.35
26.94	180.13	ABCO	Adult	4
253.2	288.31	ABCO	Adult	345.77
276.55	9.04	ABCO	Adult	9.56
230.4	47.01	ABCO	Adult	2.62
248.93	102.62	ABCO	Adult	15.08
299.66	37.55	ABCO	Adult	59.57
170.3	176.43	ABCO	Adult	10.53
127.6	263.93	ABCO	Adult	5.19
122.66	262.17	ABCO	Adult	8.2
175.41	288.48	ABCO	Adult	11.42
211.57	269.03	ABCO	Adult	15.89
226.75	121.62	ABCO	Adult	11.18
285.54	281.05	ABCO	Adult	32.21
179.38	95.08	ABCO	Adult	2.77
58.49	111.45	ABCO	Adult	39.22
188.25	220.36	ABCO	Adult	2.13
200.09	250.71	ABCO	Adult	12.38
239.79	239	ABCO	Adult	40.63
178.22	253.4	ABCO	Adult	11.62
35.4	103.08	ABCO	Adult	8.97
51.62	264.19	ABCO	Adult	48.11
289.59	135.54	ABCO	Adult	0.87
39.74	213.91	ABCO	Adult	4.27
189.35	98.16	ABCO	Adult	7.29
129.89	255.3	ABCO	Adult	9.92
186.77	271.36	ABCO	Adult	23.05
203.31	114.48	ABCO	Adult	18.22
176.36	236.76	ABCO	Adult	43.48
108.71	35.9	ABCO	Adult	31.17
193.43	272.92	ABCO	Adult	16.12
84.48	217.16	ABCO	Adult	1.81
31.61	299.35	ABCO	Adult	8.72
144.9	190.96	ABCO	Adult	53.44
159.5	150.3	ABCO	Adult	42.57
225.29	181.31	ABCO	Adult	11.09
289.97	145.71	ABCO	Adult	10.01
226.39	268.62	ABCO	Adult	21.44
168.98	153.6	ABCO	Adult	7.8
133.24	7.84	ABCO	Adult	3.03
281.09	88.28	ABCO	Adult	21.54
73.88	107.58	ABCO	Adult	16.42
278.26	53.61	ABCO	Adult	53.94
