X	Y	Species	Type	Diam
153.79	148.66	ABCO	Adult	14.62
205.36	260.77	ABCO	Adult	15.95
59.87	101.2	ABCO	Adult	22.98
110.72	7.48	ABCO	Adult	1.63
288.3	254.31	ABCO	Adult	3.83
133.22	263.83	ABCO	Adult	4.54
264.53	186.44	ABCO	Adult	13.38
108.98	220.7	ABCO	Adult	4.61
133.34	162.88	ABCO	Adult	8.19
279.01	103.79	ABCO	Adult	9.66
259.8	271.31	ABCO	Adult	2.54
273.76	157.95	ABCO	Adult	8.23
111.73	173.15	ABCO	Adult	1.16
218.21	195.5	ABCO	Adult	21.44
217.45	133.1	ABCO	Adult	6.39
171.59	291.22	ABCO	Adult	14.38
215.19	140.94	ABCO	Adult	1.68
260.85	85.43	ABCO	Adult	1.59
6.87	101.79	ABCO	Adult	107.74
232.16	209.05	ABCO	Adult	0.43
216.98	152.2	ABCO	Adult	44.92
144.83	229.89	ABCO	Adult	1.8
17.87	291.82	ABCO	Adult	27.96
200.44	65.94	ABCO	Adult	1.69
295.2	128.35	ABCO	Adult	5.7
147.15	50.39	ABCO	Adult	29.95
154.22	271.08	ABCO	Adult	1.94
136.04	186.61	ABCO	Adult	3.6
49	252.26	ABCO	Adult	24.09
224.61	285.98	ABCO	Adult	14.76
247.94	229.98	ABCO	Adult	18.26
260.57	190.47	ABCO	Adult	11.45
189.2	79.7	ABCO	Adult	7.18
165.16	5.42	ABCO	Adult	5.67
189.91	1.19	ABCO	Adult	72.4
111.01	272.06	ABCO	Adult	0.56
197.76	137.09	ABCO	Adult	8.82
76.52	272.69	ABCO	Adult	1.58
148.3	249.28	ABCO	Adult	5.86
129.9	207.36	ABCO	Adult	4.76
227.07	189.9	ABCO	Adult	18.82
160.05	5.21	ABCO	Adult	24.09
270.46	234.21	ABCO	Adult	19.59
116.16	176	ABCO	Adult	12.12
161.99	31.98	ABCO	Adult	13.01
99.92	79.22	ABCO	Adult	28.09
193.26	76.64	ABCO	Adult	3.86
211.31	130.62	ABCO	Adult	7.46
182.88	295.78	ABCO	Adult	4.26
69.76	217.85	ABCO	Adult	25.57
222.62	261.37	ABCO	Adult	1.31
201.91	224.23	ABCO	Adult	5.15
162.81	47.51	ABCO	Adult	32.68
116.32	66.86	ABCO	Adult	0.86
45.88	247.11	ABCO	Adult	18.4
298.89	147.94	ABCO	Adult	10.34
250.47	260.87	ABCO	Adult	3.12
95.17	195.75	ABCO	Adult	20.85
140.02	114.71	ABCO	Adult	2.75
178.8	101.49	ABCO	Adult	10.01
14.04	169.37	ABCO	Adult	5.17
228.9	51.91	ABCO	Adult	34.93
298.49	153.12	ABCO	Adult	21.92
141.14	216.52	ABCO	Adult	7.49
38.79	224.75	ABCO	Adult	10.7
68.3	135.49	ABCO	Adult	1.91
143.2	43.84	ABCO	Adult	6.93
140.54	225.26	ABCO	Adult	2.54
102.74	43.64	ABCO	Adult	33.2
207.45	95.7	ABCO	Adult	14.87
141.65	250.14	ABCO	Adult	2.01
290.1	130.92	ABCO	Adult	3.61
268.35	108.67	ABCO	Adult	14.09
67.35	266.38	ABCO	Adult	1.98
4.43	192.52	ABCO	Adult	2.65
284.37	115.32	ABCO	Adult	14.04
34.64	278.03	ABCO	Adult	8.51
103.45	181.14	ABCO	Adult	4.26
239.99	291	ABCO	Adult	1.21
225.89	27.34	ABCO	Adult	8.69
238.24	219.64	ABCO	Adult	5.91
246.72	268.17	ABCO	Adult	22.34
43.43	187.8	ABCO	Adult	11.94
146.56	188.92	ABCO	Adult	1.01
187.98	36.43	ABCO	Adult	7.42
224.22	222.74	ABCO	Adult	5.57
266.84	219.6	ABCO	Adult	2.75
147.4	259.52	ABCO	Adult	9.38
43.14	109.88	ABCO	Adult	0.97
201.84	170.27	ABCO	Adult	5.13
106.7	138.8	ABCO	Adult	14.6
133.28	20.17	ABCO	Adult	21.8
107.52	44.84	ABCO	Adult	101.66
81.67	159.01	ABCO	Adult	7.08
59.1	230.31	ABCO	Adult	14.72
237.4	158.42	ABCO	Adult	41.47
277.06	53.54	ABCO	Adult	16.43
137.06	194.69	ABCO	Adult	1.77
262.96	281.7	ABCO	Adult	22.9
291.83	145.96	ABCO	Adult	47.15
228.76	78.94	ABCO	Adult	60.27
37.7	226.25	ABCO	Adult	8.14
103.92	192.79	ABCO	Adult	25.32
10.35	179.47	ABCO	Adult	1.28
100.36	299.94	ABCO	Adult	1.18
183.37	208.45	ABCO	Adult	65.77
210.4	262.96	ABCO	Adult	5.9
22.27	178.21	ABCO	Adult	2.76
291.08	24.45	ABCO	Adult	39.62
145.91	97.46	ABCO	Adult	9.59
