X	Y	Species	Type	Diam	Height
69.315	271.234	CADE	Adult	8.769	0
24.131	22.717	CADE	Adult	19.844	0
127.06	207.93	CADE	Adult	11.115	0
173.419	109.67	CADE	Adult	5.504	0
65.644	117.513	CADE	Adult	15.053	0
202.883	278.692	CADE	Adult	96.251	0
220.025	192.401	CADE	Adult	15.267	0
23.139	252.416	CADE	Adult	5.061	0
165.86	5.925	CADE	Adult	13.932	0
74.473	257.683	CADE	Adult	63.105	0
103.145	61.885	CADE	Adult	8.87	0
191.585	56.2	CADE	Adult	17.915	0
26.409	24.364	CADE	Adult	1.647	0
236.523	227.084	CADE	Adult	8.872	0
286.937	80.77	CADE	Adult	0.48	0
246.255	188.024	CADE	Adult	57.81	0
84.803	200.734	CADE	Adult	11.282	0
88.267	111.359	CADE	Adult	1.639	0
143.498	141.452	CADE	Adult	19.253	0
137.636	235.077	CADE	Adult	0.525	0
290.068	234.132	CADE	Adult	41.562	0
184.932	68.561	CADE	Adult	17.654	0
187.477	278.652	CADE	Adult	15.578	0
52.053	64.465	CADE	Adult	9.595	0
267.956	241.795	CADE	Adult	0.708	0
109.944	248.949	CADE	Adult	18.064	0
94.7	205.692	CADE	Adult	39.395	0
90.205	91.737	CADE	Adult	4.664	0
1.244	34.208	CADE	Adult	19.014	0
133.501	10.943	CADE	Adult	31.075	0
230.27	89.362	CADE	Adult	21.806	0
19.032	294.31	CADE	Adult	13.542	0
299.608	186.773	CADE	Adult	11.239	0
161.242	89.866	CADE	Adult	18.676	0
125.977	19.221	CADE	Adult	8.14	0
248.848	223.989	CADE	Adult	19.442	0
40.063	174.84	CADE	Adult	17.336	0
93.327	56.304	CADE	Adult	5.312	0
204.763	260.231	CADE	Adult	15.598	0
200.201	287.674	CADE	Adult	17.5	0
271.681	67.017	CADE	Adult	8.324	0
3.316	278.508	CADE	Adult	1.411	0
244.94	172.937	CADE	Adult	56.522	0
162.933	64.735	CADE	Adult	20.544	0
116.734	89.977	CADE	Adult	7.87	0
20.155	219.277	CADE	Adult	38.284	0
82.718	280.653	CADE	Adult	14.643	0
189.895	69.103	CADE	Adult	38.986	0
97.392	115.356	CADE	Adult	5.235	0
268.108	296.879	CADE	Adult	5.215	0
57.754	34.154	CADE	Adult	12.623	0
243.043	176.098	CADE	Adult	31.449	0
104.066	113.564	CADE	Adult	66.819	0
246.092	264.826	CADE	Adult	0.216	0
72.133	178.978	CADE	Adult	29.074	0
207.132	24.97	CADE	Adult	0.639	0
274.3	130.444	CADE	Adult	60.467	0
152.034	144.684	CADE	Adult	17.522	0
275.575	254.117	CADE	Adult	0.701	0
117.37	297.87	CADE	Adult	1.54	0
93.424	184.207	CADE	Adult	0.302	0
152.506	192.813	CADE	Adult	98.619	0
235.09	1.927	CADE	Adult	5.164	0
54.557	22.823	CADE	Adult	58.207	0
32.984	152.515	CADE	Adult	0.214	0
112.509	41.455	CADE	Adult	31.641	0
83.645	30.903	CADE	Adult	5.348	0
169.074	28.294	CADE	Adult	18.254	0
275.568	244.397	CADE	Adult	15.327	0
192.2	139.649	CADE	Adult	11.436	0
88.858	66.066	CADE	Adult	1.191	0
104.068	268.036	CADE	Adult	21.236	0
177.551	196.113	CADE	Adult	5.514	0
270.391	238.898	CADE	Adult	5.491	0
177.525	55.319	CADE	Adult	8.66	0
17.702	126.992	CADE	Adult	0.5	0
289.197	282.743	CADE	Adult	20.728	0
195.157	222.835	CADE	Adult	0.518	0
5.614	81.746	CADE	Adult	19.472	0
85.805	262.793	CADE	Adult	10.306	0
223.248	55.839	CADE	Adult	0.56	0
76.726	298.135	CADE	Adult	9.613	0
118.126	193.974	CADE	Adult	16.379	0
22.217	41.319	CADE	Adult	0.506	0
196.345	212.042	CADE	Adult	4.644	0
213.404	143.447	CADE	Adult	11.653	0
264.548	88.586	CADE	Adult	59.003	0
275.265	105.712	CADE	Adult	103.028	0
21.262	288.631	CADE	Adult	14.68	0
17.817	66.715	CADE	Adult	34.9	0
202.511	13.671	CADE	Adult	5.363	0
153.267	94.065	CADE	Adult	95.457	0
71.776	229.172	CADE	Adult	40.565	0
186.012	53.958	CADE	Adult	1.476	0
70.417	147.774	CADE	Adult	1.403	0
59.393	130.985	CADE	Adult	20.446	0
276.502	196.32	CADE	Adult	15.855	0
214.789	288.471	CADE	Adult	20.101	0
30.531	147.65	CADE	Adult	0.499	0
273.623	248.272	CADE	Adult	0.185	0
56.19	67.752	CADE	Adult	14.828	0
167.694	260.203	CADE	Adult	15.094	0
257.8	89.458	CADE	Adult	11.407	0
186.411	292.665	CADE	Adult	17.377	0
119.345	88.104	CADE	Adult	11.428	0
142.285	5.723	CADE	Adult	8.554	0
78.888	208.142	CADE	Adult	0.707	0
178.695	266.272	CADE	Adult	11.871	0
153.184	130.478	CADE	Adult	15.702	0
60.908	231.792	CADE	Adult	1.53	0
127.295	138.266	CADE	Adult	1.478	0
133.773	94.339	CADE	Adult	5.235	0
31.635	39.745	CADE	Adult	22.274	0
278.548	296.497	CADE	Adult	66.839	0
234.037	189.577	CADE	Adult	1.373	0
256.191	41.093	CADE	Adult	15.692	0
197.975	218.444	CADE	Adult	18.483	0
44.663	49.535	CADE	Adult	12.315	0
117.429	75.929	CADE	Adult	30.261	0
103.149	30.047	CADE	Adult	15.811	0
5.779	237.298	CADE	Adult	27.665	0
170.968	123.261	CADE	Adult	14.406	0
64.691	99.28	CADE	Adult	8.998	0
28.594	153.152	CADE	Adult	4.294	0
160.955	246.79	CADE	Adult	0.493	0
70.486	262.912	CADE	Adult	11.925	0
267.933	6.184	CADE	Adult	1.732	0
256.65	115.495	CADE	Adult	0.294	0
276.007	296.738	CADE	Adult	0.19	0
200.015	31.614	CADE	Adult	11.544	0
93.143	205.045	CADE	Adult	28.587	0
51.493	119.101	CADE	Adult	22.921	0
8.998	47.216	CADE	Adult	41.841	0
30.619	93.225	CADE	Adult	4.861	0
285.986	234.224	CADE	Adult	17.709	0
154.108	260.842	CADE	Adult	17.46	0
280.329	119.361	CADE	Adult	0.475	0
277.166	113.038	CADE	Adult	21.067	0
23.03	209.61	CADE	Adult	17.254	0
275.579	230.233	CADE	Adult	46.355	0
220.462	223.021	CADE	Adult	16.055	0
134.838	163.883	CADE	Adult	14.95	0
66.885	298.108	CADE	Adult	0.525	0
18.865	261.072	CADE	Adult	1.46	0
117.45	156.145	CADE	Adult	27.561	0
77.758	191.256	CADE	Adult	0.211	0
221.118	121.567	CADE	Adult	29.05	0
30.339	109.534	CADE	Adult	0.487	0
141.291	278.213	CADE	Adult	18.596	0
3.255	131.751	CADE	Adult	19.3	0
177.623	152.36	CADE	Adult	0.527	0
147.804	233.83	CADE	Adult	0.181	0
170.482	119.622	CADE	Adult	8.645	0
210.505	139.039	CADE	Adult	0.521	0
267.262	27.081	CADE	Adult	15.37	0
216.062	4.749	CADE	Adult	0.545	0
274.558	113.751	CADE	Adult	34.21	0
64.149	161.252	CADE	Adult	9.285	0
235.928	58.139	CADE	Adult	48.891	0
169.775	280.588	CADE	Adult	64.871	0
15.752	9.213	CADE	Adult	0.506	0
249.877	180.32	CADE	Adult	13.142	0
246.198	32.475	CADE	Adult	16.912	0
69.202	128.947	CADE	Adult	25.36	0
185.951	117.943	CADE	Adult	29.526	0
79.258	205.762	CADE	Adult	11.128	0
38.518	284.318	CADE	Adult	8.242	0
110.524	148.214	CADE	Adult	8.408	0
45.808	1.457	CADE	Adult	64.999	0
151	295.913	CADE	Adult	14.804	0
225.537	80.555	CADE	Adult	6.832	0
80.548	272.269	CADE	Adult	16.355	0
266.183	139.655	CADE	Adult	26.861	0
275.781	97.806	CADE	Adult	20.108	0
212.913	201.961	CADE	Adult	0.743	0
22.412	71.72	CADE	Adult	33.912	0
240.911	100.87	CADE	Adult	36.073	0
219.844	145.793	CADE	Adult	16.018	0
32.811	71.043	CADE	Adult	13.817	0
207.713	81.054	CADE	Adult	5.401	0
222.564	246.525	CADE	Adult	9.654	0
29.152	164.197	CADE	Adult	0.577	0
61.666	290.575	CADE	Adult	60.927	0
173.744	249.779	CADE	Adult	15.221	0
192.951	209.302	CADE	Adult	9.224	0
166.634	216.762	CADE	Adult	8.54	0
259.567	214.751	CADE	Adult	0.476	0
63.511	61.599	CADE	Adult	0.473	0
276.444	33.193	CADE	Adult	57.114	0
71.81	253.84	CADE	Adult	12.192	0
35.748	280.347	CADE	Adult	8.869	0
254.342	160.831	CADE	Adult	5.136	0
155.755	162.576	CADE	Adult	31.278	0
287.742	25.45	CADE	Adult	14.792	0
97.239	270.486	CADE	Adult	8.498	0
259.198	220.706	CADE	Adult	5.536	0
92.45	92.558	CADE	Adult	6.164	0
157.084	236.009	CADE	Adult	0.64	0
157.938	204.832	CADE	Adult	19.843	0
171.68	222.88	CADE	Adult	5.828	0
185.837	99.793	CADE	Adult	0.219	0
193.132	17.548	CADE	Adult	8.658	0
75.435	131.312	CADE	Adult	15.527	0
277.552	180.831	CADE	Adult	60.41	0
149.959	13.593	CADE	Adult	33.459	0
119.28	170.603	CADE	Adult	16.481	0
258.508	37.281	CADE	Adult	0.467	0
84.829	101.18	CADE	Adult	19.739	0
214.834	14.366	CADE	Adult	0.659	0
