Location: CCRPIPO Setup
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\071715-CCRPIPO-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Abs Den: NR4	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl Abs BA: NR4	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Rel BA: NR4	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Abs Den: NR4	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Sapl Rel Den: NR4	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult Abs BA: NR4	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Rel BA: NR4	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Abs Den: NR4	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Adult Rel Den: NR4	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Abs Den: NR4	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Abs Den: NR4	Natural Dead Sapl Den Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Abs Den: NR4	Natural Dead Adult Den Total:
10	0	137.889	114.222	1	5.22222	25.2222	0	0	0	0	283.556	3.09428	1.13711	0.362648	0.165766	0.474933	0	0	0	0	5.23474	0.591105	0.217224	0.0692772	0.0316666	0.0907272	0	0	0	0	503.444	281.111	68.3333	44.7778	153.667	0	0	0	0	1051.33	0.478863	0.267385	0.0649968	0.0425914	0.146164	0	0	0	0	14.9263	89.7321	0.967841	10.0636	18.0542	0	0	0	0	133.744	0.111604	0.670924	0.00723652	0.0752453	0.13499	0	0	0	0	59.6667	139.444	1.88889	8.44444	51.6667	0	0	0	0	261.111	0.228511	0.534043	0.00723404	0.0323404	0.197872	0	0	0	0	5.77778	3.66667	0	0.222222	0.444444	0	0	0	0	10.1111	20	9	2.66667	1.11111	4.88889	0	0	0	0	37.6667	1.66667	3.88889	0.111111	0.111111	2.22222	0	0	0	0	8
11	0	144.889	124.778	0.888889	5.22222	26.8889	0	0	0	0	302.667	2.96495	1.12127	0.354122	0.165922	0.465761	0	0	0	0	5.07202	0.584569	0.221069	0.0698187	0.0327132	0.0918294	0	0	0	0	481.778	273.444	66.6667	43.7778	148.778	0	0	0	0	1014.44	0.474918	0.269551	0.0657174	0.0431544	0.146659	0	0	0	0	14.5622	88.7795	0.85648	10.042	17.4063	0	0	0	0	131.646	0.110616	0.674378	0.00650591	0.0762799	0.13222	0	0	0	0	57.8889	136.333	1.77778	8.33333	49.7778	0	0	0	0	254.111	0.227809	0.536511	0.00699606	0.0327941	0.19589	0	0	0	0	6.33333	2.55556	0.111111	0.111111	1	0	0	0	0	10.1111	21.1111	7.22222	1.66667	1	4.55556	0	0	0	0	35.5556	2.33333	3.55556	0.111111	0.111111	2.22222	0	0	0	0	8.33333
12	0	152.333	132.889	1.11111	5.22222	28.1111	0	0	0	0	319.667	2.84451	1.09693	0.350004	0.162432	0.454624	0	0	0	0	4.9085	0.579507	0.223476	0.0713057	0.0330919	0.0926197	0	0	0	0	462.222	267	64.1111	42.7778	143.111	0	0	0	0	979.222	0.47203	0.272665	0.0654715	0.0436855	0.146148	0	0	0	0	13.9094	83.3257	0.858313	9.41934	16.5236	0	0	0	0	124.036	0.112139	0.671785	0.00691985	0.0759402	0.133216	0	0	0	0	56.5556	133.444	1.77778	8.22222	47.8889	0	0	0	0	247.889	0.228149	0.538324	0.00717167	0.033169	0.193187	0	0	0	0	6.22222	3.11111	0	0.222222	0.888889	0	0	0	0	10.4444	19.1111	5.66667	2.55556	1	5.44444	0	0	0	0	33.7778	1.77778	3.66667	0	0.111111	2.11111	0	0	0	0	7.66667
13	0	161	140.111	1.11111	5.11111	27.3333	0	0	0	0	334.667	2.74844	1.07634	0.342124	0.161667	0.449305	0	0	0	0	4.77788	0.575243	0.225277	0.0716058	0.0338366	0.0940384	0	0	0	0	441.889	259.222	62.6667	42.3333	139.444	0	0	0	0	945.556	0.467333	0.274148	0.066275	0.0447709	0.147474	0	0	0	0	13.784	80.8328	0.860178	8.76794	14.9607	0	0	0	0	119.206	0.115632	0.678096	0.00721593	0.0735531	0.125503	0	0	0	0	55.2222	129.222	1.77778	7.88889	46.7778	0	0	0	0	240.889	0.229244	0.536439	0.00738007	0.0327491	0.194188	0	0	0	0	5.33333	3.77778	0.111111	0.333333	0.666667	0	0	0	0	10.2222	19.8889	7.11111	1.44444	0.444444	5.66667	0	0	0	0	34.5556	1.77778	4.88889	0	0.333333	1.11111	0	0	0	0	8.11111
14	0	165.111	149.556	1.11111	5.33333	25.7778	0	0	0	0	346.889	2.62257	1.06081	0.3337	0.161376	0.432169	0	0	0	0	4.61062	0.568811	0.230079	0.0723763	0.0350009	0.0937333	0	0	0	0	422.556	252.333	61	41.6667	137.111	0	0	0	0	914.667	0.461978	0.275875	0.066691	0.0455539	0.149903	0	0	0	0	13.4139	79.054	0.812411	8.40899	14.5827	0	0	0	0	116.272	0.115366	0.679906	0.00698716	0.0723218	0.125419	0	0	0	0	53	125.778	1.66667	7.33333	45.5556	0	0	0	0	233.333	0.227143	0.539048	0.00714286	0.0314286	0.195238	0	0	0	0	6.44444	3.55556	0.222222	0.222222	1	0	0	0	0	11.4444	19.2222	6.55556	1.66667	0.666667	4.33333	0	0	0	0	32.4444	2.33333	3.77778	0.111111	0.555556	1.66667	0	0	0	0	8.44444
15	0	170.778	156.444	1.33333	6.11111	24.8889	0	0	0	0	359.556	2.53767	1.04736	0.321444	0.158681	0.428755	0	0	0	0	4.49391	0.56469	0.233063	0.0715289	0.0353102	0.0954082	0	0	0	0	405.778	245.667	59.1111	40.2222	134.111	0	0	0	0	884.889	0.458564	0.277624	0.0668006	0.0454545	0.151557	0	0	0	0	13.2104	76.3441	0.814191	8.41728	14.4417	0	0	0	0	113.228	0.116671	0.674254	0.00719074	0.0743395	0.127545	0	0	0	0	50.7778	122.556	1.66667	7.33333	44.2222	0	0	0	0	226.556	0.224129	0.540951	0.00735655	0.0323688	0.195194	0	0	0	0	5.77778	4.66667	0.111111	0	1.11111	0	0	0	0	11.6667	16.6667	6.22222	1.88889	1.44444	4.66667	0	0	0	0	30.8889	2.33333	3.66667	0	0	1.33333	0	0	0	0	7.33333
16	0	174.889	162.222	1.33333	6.44444	23.3333	0	0	0	0	368.222	2.45211	1.0174	0.317605	0.15598	0.42008	0	0	0	0	4.36318	0.562002	0.233179	0.0727922	0.0357492	0.0962784	0	0	0	0	388.111	237.222	57.2222	39.1111	132.667	0	0	0	0	854.333	0.454285	0.277669	0.0669788	0.0457797	0.155287	0	0	0	0	12.4755	74.2103	0.664371	8.28421	14.0706	0	0	0	0	109.705	0.113719	0.676453	0.00605598	0.0755135	0.128259	0	0	0	0	48.3333	120.556	1.55556	7	43.5556	0	0	0	0	221	0.218703	0.5455	0.00703871	0.0316742	0.197084	0	0	0	0	7.77778	3.66667	0.111111	0.111111	0.888889	0	0	0	0	12.5556	17.6667	8	1.88889	1.11111	3.55556	0	0	0	0	32.2222	2.44444	2.44444	0.111111	0.333333	1	0	0	0	0	6.33333
17	0	178.111	163.667	1.11111	5.77778	22	0	0	0	0	370.667	2.37944	0.994784	0.3129	0.143893	0.415337	0	0	0	0	4.24636	0.560349	0.234268	0.0736866	0.0338863	0.0978102	0	0	0	0	371.667	231.667	56	39	130.889	0	0	0	0	829.222	0.448211	0.279378	0.0675332	0.047032	0.157845	0	0	0	0	12.0253	73.9085	0.614251	8.28741	14.0353	0	0	0	0	108.871	0.110454	0.678865	0.00564202	0.0761216	0.128917	0	0	0	0	45.8889	117.333	1.44444	7	42.8889	0	0	0	0	214.556	0.213879	0.546867	0.00673226	0.0326256	0.199896	0	0	0	0	7.22222	5.11111	0	0.222222	0.888889	0	0	0	0	13.4444	16.3333	6.33333	1.55556	0.777778	3.77778	0	0	0	0	28.7778	2.55556	3.55556	0.111111	0.111111	0.888889	0	0	0	0	7.22222
18	0	180.889	159.556	1.11111	5.77778	22.3333	0	0	0	0	369.667	2.30939	0.979814	0.302643	0.141352	0.414145	0	0	0	0	4.14734	0.556835	0.236251	0.0729729	0.0340825	0.0998579	0	0	0	0	356.889	234.667	54	39	128.111	0	0	0	0	812.667	0.439158	0.288761	0.0664479	0.0479902	0.157643	0	0	0	0	11.5636	73.6861	0.615712	8.29997	13.9848	0	0	0	0	108.15	0.106921	0.681332	0.00569312	0.0767449	0.129309	0	0	0	0	43.5556	115	1.44444	7.11111	41.8889	0	0	0	0	209	0.2084	0.550239	0.00691122	0.0340245	0.200425	0	0	0	0	7.66667	3.88889	0	0.111111	0.555556	0	0	0	0	12.2222	14.7778	6	2	0.555556	3.55556	0	0	0	0	26.8889	2.33333	2.66667	0	0	1.22222	0	0	0	0	6.22222
19	0	183.222	157	1.22222	5.44444	20.7778	0	0	0	0	367.667	2.25022	0.958962	0.295291	0.139801	0.410951	0	0	0	0	4.05522	0.554894	0.236476	0.0728175	0.0344743	0.101339	0	0	0	0	345.333	233.444	52.5556	38.4444	126.556	0	0	0	0	796.333	0.433654	0.293149	0.0659969	0.0482768	0.158923	0	0	0	0	11.1847	70.829	0.57291	8.30822	13.8742	0	0	0	0	104.769	0.106756	0.676049	0.00546831	0.0793004	0.132427	0	0	0	0	41.3333	112.111	1.33333	7.11111	40.7778	0	0	0	0	202.667	0.203947	0.55318	0.00657895	0.0350877	0.201206	0	0	0	0	6.88889	4.22222	0	0.111111	0.444444	0	0	0	0	11.6667	11.5556	8.88889	1.44444	1	3.88889	0	0	0	0	26.7778	2.22222	2.88889	0.111111	0	1.22222	0	0	0	0	6.44444
20	0	174.889	154.222	1.22222	5.66667	21.6667	0	0	0	0	357.667	2.16057	0.937413	0.29214	0.13613	0.403768	0	0	0	0	3.93002	0.549761	0.238526	0.0743353	0.0346384	0.102739	0	0	0	0	339.111	235.333	50.5556	37.7778	123.667	0	0	0	0	786.444	0.431195	0.299237	0.0642837	0.0480362	0.157248	0	0	0	0	10.8314	70.0365	0.574268	7.98427	12.4137	0	0	0	0	101.84	0.106356	0.68771	0.00563891	0.0784	0.121894	0	0	0	0	38.8889	109.111	1.33333	7	39.4444	0	0	0	0	195.778	0.198638	0.557321	0.00681044	0.0357548	0.201476	0	0	0	0	6.33333	2.55556	0	0	0.333333	0	0	0	0	9.22222	15.8889	6.77778	2	0.666667	4.22222	0	0	0	0	29.5556	2.55556	3.55556	0	0.222222	1.55556	0	0	0	0	7.88889
