Location: SFTRABMA Validation
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\072315-SFTRABMA-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABMA	Sdl Abs Den: PIMO	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Abs Den: NR4	Sdl Abs Den: NR5	Sdl Abs Den: NR6	Sdl Abs Den: NR7	Sdl Den Total:	Sapl Abs BA: ABMA	Sapl Abs BA: PIMO	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl Abs BA: NR4	Sapl Abs BA: NR5	Sapl Abs BA: NR6	Sapl Abs BA: NR7	Sapl BA Total:	Sapl Rel BA: ABMA	Sapl Rel BA: PIMO	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Rel BA: NR4	Sapl Rel BA: NR5	Sapl Rel BA: NR6	Sapl Rel BA: NR7	Sapl Abs Den: ABMA	Sapl Abs Den: PIMO	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Abs Den: NR4	Sapl Abs Den: NR5	Sapl Abs Den: NR6	Sapl Abs Den: NR7	Sapl Den Total:	Sapl Rel Den: ABMA	Sapl Rel Den: PIMO	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Sapl Rel Den: NR4	Sapl Rel Den: NR5	Sapl Rel Den: NR6	Sapl Rel Den: NR7	Adult Abs BA: ABMA	Adult Abs BA: PIMO	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult Abs BA: NR4	Adult Abs BA: NR5	Adult Abs BA: NR6	Adult Abs BA: NR7	Adult BA Total:	Adult Rel BA: ABMA	Adult Rel BA: PIMO	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Rel BA: NR4	Adult Rel BA: NR5	Adult Rel BA: NR6	Adult Rel BA: NR7	Adult Abs Den: ABMA	Adult Abs Den: PIMO	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Abs Den: NR4	Adult Abs Den: NR5	Adult Abs Den: NR6	Adult Abs Den: NR7	Adult Den Total:	Adult Rel Den: ABMA	Adult Rel Den: PIMO	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Adult Rel Den: NR4	Adult Rel Den: NR5	Adult Rel Den: NR6	Adult Rel Den: NR7	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Abs Den: NR4	Natural Dead Sdl Abs Den: NR5	Natural Dead Sdl Abs Den: NR6	Natural Dead Sdl Abs Den: NR7	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Abs Den: NR4	Natural Dead Sapl Abs Den: NR5	Natural Dead Sapl Abs Den: NR6	Natural Dead Sapl Abs Den: NR7	Natural Dead Sapl Den Total:	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Abs Den: NR4	Natural Dead Adult Abs Den: NR5	Natural Dead Adult Abs Den: NR6	Natural Dead Adult Abs Den: NR7	Natural Dead Adult Den Total:
10	0	95.5556	0	0	0	0	0	0	0	0	95.5556	3.06292	0.0116685	0	0	0	0	0	0	0	3.07459	0.996205	0.00379513	0	0	0	0	0	0	0	296.444	1.55556	0	0	0	0	0	0	0	298	0.99478	0.00521999	0	0	0	0	0	0	0	114.633	0	0	0	0	0	0	0	0	114.633	1	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	167	1	0	0	0	0	0	0	0	0	4.77778	0	0	0	0	0	0	0	0	4.77778	15.2222	0.111111	0	0	0	0	0	0	0	15.3333	8.44444	0	0	0	0	0	0	0	0	8.44444
11	0	100.667	0	0	0	0	0	0	0	0	100.667	2.91123	0.0117055	0	0	0	0	0	0	0	2.92293	0.995995	0.00400472	0	0	0	0	0	0	0	280.333	1.55556	0	0	0	0	0	0	0	281.889	0.994482	0.00551833	0	0	0	0	0	0	0	110.45	0	0	0	0	0	0	0	0	110.45	1	0	0	0	0	0	0	0	0	157.667	0	0	0	0	0	0	0	0	157.667	1	0	0	0	0	0	0	0	0	4.44444	0	0	0	0	0	0	0	0	4.44444	15.8889	0	0	0	0	0	0	0	0	15.8889	9.55556	0	0	0	0	0	0	0	0	9.55556
12	0	103.333	0	0	0	0	0	0	0	0	103.333	2.80182	0.0117436	0	0	0	0	0	0	0	2.81357	0.995826	0.00417391	0	0	0	0	0	0	0	266.444	1.55556	0	0	0	0	0	0	0	268	0.994196	0.00580431	0	0	0	0	0	0	0	104.562	0	0	0	0	0	0	0	0	104.562	1	0	0	0	0	0	0	0	0	150.778	0	0	0	0	0	0	0	0	150.778	1	0	0	0	0	0	0	0	0	4.55556	0	0	0	0	0	0	0	0	4.55556	13.6667	0	0	0	0	0	0	0	0	13.6667	7.11111	0	0	0	0	0	0	0	0	7.11111
13	0	107	0	0	0	0	0	0	0	0	107	2.63199	0.0117888	0	0	0	0	0	0	0	2.64378	0.995541	0.00445905	0	0	0	0	0	0	0	250.889	1.55556	0	0	0	0	0	0	0	252.444	0.993838	0.00616197	0	0	0	0	0	0	0	101.536	0	0	0	0	0	0	0	0	101.536	1	0	0	0	0	0	0	0	0	144.667	0	0	0	0	0	0	0	0	144.667	1	0	0	0	0	0	0	0	0	4.77778	0	0	0	0	0	0	0	0	4.77778	15.3333	0	0	0	0	0	0	0	0	15.3333	6.33333	0	0	0	0	0	0	0	0	6.33333
14	0	108.333	0	0	0	0	0	0	0	0	108.333	2.48419	0.0109471	0	0	0	0	0	0	0	2.49513	0.995613	0.00438737	0	0	0	0	0	0	0	236.889	1.44444	0	0	0	0	0	0	0	238.333	0.993939	0.00606061	0	0	0	0	0	0	0	93.6361	0	0	0	0	0	0	0	0	93.6361	1	0	0	0	0	0	0	0	0	136.778	0	0	0	0	0	0	0	0	136.778	1	0	0	0	0	0	0	0	0	5.88889	0	0	0	0	0	0	0	0	5.88889	13.7778	0.111111	0	0	0	0	0	0	0	13.8889	8.11111	0	0	0	0	0	0	0	0	8.11111
15	0	108.889	0	0	0	0	0	0	0	0	108.889	2.32577	0.0110001	0	0	0	0	0	0	0	2.33677	0.995293	0.00470741	0	0	0	0	0	0	0	222.333	1.44444	0	0	0	0	0	0	0	223.778	0.993545	0.00645482	0	0	0	0	0	0	0	90.586	0	0	0	0	0	0	0	0	90.586	1	0	0	0	0	0	0	0	0	129.889	0	0	0	0	0	0	0	0	129.889	1	0	0	0	0	0	0	0	0	6.77778	0	0	0	0	0	0	0	0	6.77778	14.3333	0	0	0	0	0	0	0	0	14.3333	7.11111	0	0	0	0	0	0	0	0	7.11111
16	0	110.889	0	0	0	0	0	0	0	0	110.889	2.25408	0.011062	0	0	0	0	0	0	0	2.26514	0.995116	0.00488359	0	0	0	0	0	0	0	212.111	1.44444	0	0	0	0	0	0	0	213.556	0.993236	0.00676379	0	0	0	0	0	0	0	87.5815	0	0	0	0	0	0	0	0	87.5815	1	0	0	0	0	0	0	0	0	123.667	0	0	0	0	0	0	0	0	123.667	1	0	0	0	0	0	0	0	0	5.44444	0	0	0	0	0	0	0	0	5.44444	10.1111	0	0	0	0	0	0	0	0	10.1111	6.33333	0	0	0	0	0	0	0	0	6.33333
17	0	113	0	0	0	0	0	0	0	0	113	2.10985	0.0111342	0	0	0	0	0	0	0	2.12099	0.99475	0.00524953	0	0	0	0	0	0	0	200.222	1.44444	0	0	0	0	0	0	0	201.667	0.992837	0.00716253	0	0	0	0	0	0	0	83.3682	0	0	0	0	0	0	0	0	83.3682	1	0	0	0	0	0	0	0	0	117.556	0	0	0	0	0	0	0	0	117.556	1	0	0	0	0	0	0	0	0	4.55556	0	0	0	0	0	0	0	0	4.55556	11.5556	0	0	0	0	0	0	0	0	11.5556	6.44444	0	0	0	0	0	0	0	0	6.44444
18	0	109.889	0	0	0	0	0	0	0	0	109.889	2.0178	0.0112035	0	0	0	0	0	0	0	2.029	0.994478	0.00552169	0	0	0	0	0	0	0	195.333	1.44444	0	0	0	0	0	0	0	196.778	0.99266	0.00734049	0	0	0	0	0	0	0	80.3349	0	0	0	0	0	0	0	0	80.3349	1	0	0	0	0	0	0	0	0	111.556	0	0	0	0	0	0	0	0	111.556	1	0	0	0	0	0	0	0	0	5.66667	0	0	0	0	0	0	0	0	5.66667	9.66667	0	0	0	0	0	0	0	0	9.66667	6.22222	0	0	0	0	0	0	0	0	6.22222
19	0	105.222	0	0	0	0	0	0	0	0	105.222	1.96214	0.0112848	0	0	0	0	0	0	0	1.97342	0.994282	0.00571839	0	0	0	0	0	0	0	193.778	1.44444	0	0	0	0	0	0	0	195.222	0.992601	0.00739898	0	0	0	0	0	0	0	76.0333	0	0	0	0	0	0	0	0	76.0333	1	0	0	0	0	0	0	0	0	106.222	0	0	0	0	0	0	0	0	106.222	1	0	0	0	0	0	0	0	0	4.11111	0	0	0	0	0	0	0	0	4.11111	7.22222	0	0	0	0	0	0	0	0	7.22222	5.88889	0	0	0	0	0	0	0	0	5.88889
20	0	96.8889	0	0	0	0	0	0	0	0	96.8889	1.8789	0.0113699	0	0	0	0	0	0	0	1.89027	0.993985	0.00601496	0	0	0	0	0	0	0	188.778	1.44444	0	0	0	0	0	0	0	190.222	0.992407	0.00759346	0	0	0	0	0	0	0	74.4445	0	0	0	0	0	0	0	0	74.4445	1	0	0	0	0	0	0	0	0	100.778	0	0	0	0	0	0	0	0	100.778	1	0	0	0	0	0	0	0	0	6.33333	0	0	0	0	0	0	0	0	6.33333	11.5556	0	0	0	0	0	0	0	0	11.5556	5.77778	0	0	0	0	0	0	0	0	5.77778
